trial,candidate_id,model,fraction,seed,checkpoint_selection,learning_rate,weight_decay,structure_dropout,epochs_completed,stop_reason,elapsed_seconds,selected_epoch,val_loss_global_sign,val_loss_magnitude,val_loss_position,val_loss_relative_sign,val_loss_structure,val_loss_total,val_absolute_sign_accuracy,val_absolute_sign_set_accuracy,val_charge_mae,val_charge_magnitude_mae,val_global_invariant_charge_mae,val_global_sign_accuracy,val_global_sign_bce,val_mean_position_3d_error,val_mean_position_mae,val_observations_per_sample,val_observed_sample_fraction,val_pairwise_relative_sign_accuracy,val_position_mae_x,val_position_mae_y,val_position_mae_z,val_relative_configuration_accuracy,val_relative_sign_accuracy
dropout020__g05_full_reconstruction__g0.1__s43,dropout020,g05_full_reconstruction,0.1,43,structure,0.001,0.0001,0.2,61,early_stopping,60.93652889999794,41,0.37192771410942077,0.07272546029090882,0.43434168457984923,0.05948137679696083,0.5665485148429871,0.9384762289524078,0.8517999801635742,0.817,0.3173330726623535,0.1534675235748291,0.18216437339782715,0.833,0.3719277114868164,0.7319726638793945,0.35794511795043943,3.0,1.0,0.9581999969482422,0.4210674362182617,0.4377272109985352,0.21504067039489747,0.926,0.9651999969482422
dropout020__g05_full_reconstruction__g0.1__s43,dropout020,g05_full_reconstruction,0.1,43,total,0.001,0.0001,0.2,61,early_stopping,60.93652889999794,41,0.37192771410942077,0.07272546029090882,0.43434168457984923,0.05948137679696083,0.5665485148429871,0.9384762289524078,0.8517999801635742,0.817,0.3173330726623535,0.1534675235748291,0.18216437339782715,0.833,0.3719277114868164,0.7319726638793945,0.35794511795043943,3.0,1.0,0.9581999969482422,0.4210674362182617,0.4377272109985352,0.21504067039489747,0.926,0.9651999969482422
dropout020__g05_full_reconstruction__g0.25__s43,dropout020,g05_full_reconstruction,0.25,43,structure,0.001,0.0001,0.2,56,early_stopping,54.78037140000379,36,0.3532680938243866,0.07263319736719132,0.43999822211265566,0.05685603460669517,0.5694874362945557,0.9227555301189423,0.8739999923706054,0.834,0.2912065277099609,0.153597412109375,0.18764771270751954,0.854,0.3532680931091309,0.7350908813476562,0.3607583808898926,8.0,1.0,0.9527999954223633,0.42410416412353513,0.44445063400268553,0.21372031021118165,0.917,0.9616000061035156
dropout020__g05_full_reconstruction__g0.25__s43,dropout020,g05_full_reconstruction,0.25,43,total,0.001,0.0001,0.2,56,early_stopping,54.78037140000379,36,0.3532680938243866,0.07263319736719132,0.43999822211265566,0.05685603460669517,0.5694874362945557,0.9227555301189423,0.8739999923706054,0.834,0.2912065277099609,0.153597412109375,0.18764771270751954,0.854,0.3532680931091309,0.7350908813476562,0.3607583808898926,8.0,1.0,0.9527999954223633,0.42410416412353513,0.44445063400268553,0.21372031021118165,0.917,0.9616000061035156
dropout020__g05_full_reconstruction__g0.5__s43,dropout020,g05_full_reconstruction,0.5,43,structure,0.001,0.0001,0.2,66,early_stopping,66.08329500001855,46,0.34967561173439027,0.07244309908151626,0.43274879121780396,0.058550182461738584,0.5637420830726624,0.9134176948070527,0.8745999908447266,0.838,0.2906866722106934,0.1531251163482666,0.18320245361328125,0.857,0.34967560958862304,0.7246309432983399,0.35543022155761717,16.0,1.0,0.9568000106811524,0.4160109214782715,0.43656443786621096,0.21371527481079103,0.924,0.9647999877929687
dropout020__g05_full_reconstruction__g0.5__s43,dropout020,g05_full_reconstruction,0.5,43,total,0.001,0.0001,0.2,66,early_stopping,66.08329500001855,46,0.34967561173439027,0.07244309908151626,0.43274879121780396,0.058550182461738584,0.5637420830726624,0.9134176948070527,0.8745999908447266,0.838,0.2906866722106934,0.1531251163482666,0.18320245361328125,0.857,0.34967560958862304,0.7246309432983399,0.35543022155761717,16.0,1.0,0.9568000106811524,0.4160109214782715,0.43656443786621096,0.21371527481079103,0.924,0.9647999877929687
dropout020__g05_full_reconstruction__g0.75__s43,dropout020,g05_full_reconstruction,0.75,43,structure,0.001,0.0001,0.2,72,early_stopping,70.30616959999315,52,0.3530580728054047,0.07183498346805572,0.42140739250183107,0.06396550911664962,0.5572078704833985,0.9102659432888032,0.8778000030517578,0.84,0.28670359420776365,0.15138294219970702,0.18348875427246095,0.859,0.3530580711364746,0.70909716796875,0.3483715438842773,24.0,1.0,0.955400016784668,0.4089449768066406,0.42202000045776367,0.21414961433410645,0.921,0.9627999877929687
dropout020__g05_full_reconstruction__g0.75__s43,dropout020,g05_full_reconstruction,0.75,43,total,0.001,0.0001,0.2,72,early_stopping,70.30616959999315,45,0.3454887795448303,0.07214640879631043,0.4278932530879974,0.058955508291721345,0.5589951610565186,0.904483940601349,0.8746000061035156,0.834,0.2893837051391602,0.15300588989257813,0.187508752822876,0.857,0.3454887771606445,0.7173353652954102,0.3518865203857422,24.0,1.0,0.9528000030517578,0.41341640853881834,0.4276872520446777,0.2145558662414551,0.918,0.9631999893188476
dropout020__g05_full_reconstruction__g0__s43,dropout020,g05_full_reconstruction,0.0,43,structure,0.001,0.0001,0.2,65,early_stopping,45.158966000017244,45,,0.07367678439617156,0.4471487092971802,0.06263412797451019,0.5834596276283264,0.5834596276283264,,,0.18889538764953615,0.15544664001464845,0.18889538764953615,,,0.7390159378051758,0.36313969039916993,0.0,0.0,0.9526000061035156,0.42370867919921873,0.4465967712402344,0.21911361503601073,0.916,0.9603999786376953
dropout020__g05_full_reconstruction__g0__s43,dropout020,g05_full_reconstruction,0.0,43,total,0.001,0.0001,0.2,65,early_stopping,45.158966000017244,45,,0.07367678439617156,0.4471487092971802,0.06263412797451019,0.5834596276283264,0.5834596276283264,,,0.18889538764953615,0.15544664001464845,0.18889538764953615,,,0.7390159378051758,0.36313969039916993,0.0,0.0,0.9526000061035156,0.42370867919921873,0.4465967712402344,0.21911361503601073,0.916,0.9603999786376953
