split,model,fraction,checkpoint_selection,metric,baseline_mean,baseline_std,selected_mean,selected_std,improvement_mean,improvement_std,paired_seeds,improved_seeds,improvement_pct
fresh_test,g05_full_reconstruction,1.0,structure,absolute_sign_accuracy,0.8881333389282227,0.0016041638870634832,0.8795333379109701,0.005954260515145415,-0.008600001017252593,0.007299306507372022,3,0,-0.968323183051642
fresh_test,g05_full_reconstruction,1.0,structure,absolute_sign_set_accuracy,0.847,0.0030000000000000027,0.838,0.007000000000000007,-0.009000000000000008,0.009539392014169465,3,1,-1.0625737898465182
fresh_test,g05_full_reconstruction,1.0,structure,charge_mae,0.28046480496724446,0.0019514203957620136,0.28921139717102057,0.007494511295207018,-0.008746592203776049,0.008498820815293818,3,1,-3.118605988654286
fresh_test,g05_full_reconstruction,1.0,structure,charge_magnitude_mae,0.15698468081156414,0.00016638742698591095,0.15653067143758137,0.0005750814383065284,0.00045400937398274815,0.0006830033216634866,3,3,0.2892061643439695
fresh_test,g05_full_reconstruction,1.0,structure,global_invariant_charge_mae,0.19334358088175455,0.0015982836769026785,0.1915965461730957,0.00199567787171941,0.0017470347086588622,0.0014535547598662512,3,3,0.9035907479790173
fresh_test,g05_full_reconstruction,1.0,structure,global_sign_accuracy,0.8713333333333333,0.004041451884327384,0.8636666666666667,0.005507570547286107,-0.007666666666666673,0.009451631252505225,3,1,-0.8798775822494269
fresh_test,g05_full_reconstruction,1.0,structure,global_sign_bce,0.30721276919047036,0.0023240621247549364,0.31216003036499024,0.006274427559263849,-0.004947261174519861,0.008574358446740387,3,1,-1.6103696430185113
fresh_test,g05_full_reconstruction,1.0,structure,loss_global_sign,0.30721277101834615,0.0023240621857891814,0.31216003266970316,0.006274427293206936,-0.0049472616513570045,0.008574358134650602,3,1,-1.6103697886509944
fresh_test,g05_full_reconstruction,1.0,structure,loss_magnitude,0.07562079066038131,0.0003685848524446703,0.07497043881813685,0.0004688433719633577,0.0006503518422444667,0.0006041763504214386,3,3,0.8600172473271882
fresh_test,g05_full_reconstruction,1.0,structure,loss_position,0.4591075891653697,0.006998656491553643,0.4233106330235799,0.01112013297977017,0.03579695614178974,0.004664526407837728,3,3,7.797073493571839
fresh_test,g05_full_reconstruction,1.0,structure,loss_relative_sign,0.05843358423312505,0.00236532175186599,0.06196736080447832,0.002490490643567705,-0.0035337765713532795,0.0043645980731567115,3,1,-6.047509523384737
fresh_test,g05_full_reconstruction,1.0,structure,loss_structure,0.5931619571050009,0.0043024197024414835,0.5602484318415324,0.013150479738327388,0.032913525263468434,0.009322746296657632,3,3,5.5488260616218374
fresh_test,g05_full_reconstruction,1.0,structure,loss_total,0.9003747281233471,0.006581704720755563,0.8724084645112354,0.009898999716958594,0.02796626361211148,0.00811425120923999,3,3,3.1060693662961443
fresh_test,g05_full_reconstruction,1.0,structure,mean_position_3d_error,0.7539558842976888,0.007211114446827032,0.714383415222168,0.010934864365330348,0.039572469075520846,0.007946509037162788,3,3,5.248645166073963
fresh_test,g05_full_reconstruction,1.0,structure,mean_position_mae,0.3703257548014323,0.0034409040722511667,0.3513957099914551,0.005108660018787452,0.01893004480997723,0.0031357100832788845,3,3,5.111727867840969
fresh_test,g05_full_reconstruction,1.0,structure,observations_per_sample,32.0,0.0,32.0,0.0,0.0,0.0,3,0,0.0
fresh_test,g05_full_reconstruction,1.0,structure,observed_sample_fraction,1.0,0.0,1.0,0.0,0.0,0.0,3,0,0.0
fresh_test,g05_full_reconstruction,1.0,structure,pairwise_relative_sign_accuracy,0.9510666631062826,0.0024027850204739604,0.9523333257039388,0.001514385030323763,0.0012666625976562502,0.0011015104616173654,3,2,0.13318336629728966
fresh_test,g05_full_reconstruction,1.0,structure,position_mae_x,0.45257865397135416,0.005849534151187515,0.42676830546061195,0.014560201677081176,0.025810348510742192,0.018098646626945752,3,3,5.702953129640059
fresh_test,g05_full_reconstruction,1.0,structure,position_mae_y,0.4354402338663737,0.014701934562564559,0.4122298240661621,0.016909141606864995,0.023210409800211607,0.01013996074113816,3,3,5.330331925031606
fresh_test,g05_full_reconstruction,1.0,structure,position_mae_z,0.22295834096272785,0.001343730004691715,0.2151889654795329,0.004466974298524461,0.007769375483194979,0.004574335133721302,3,3,3.484675859017893
fresh_test,g05_full_reconstruction,1.0,structure,relative_configuration_accuracy,0.9133333333333334,0.0045092497528228985,0.916,0.002645751311064593,0.002666666666666669,0.0023094010767585054,3,2,0.2919708029197083
fresh_test,g05_full_reconstruction,1.0,structure,relative_sign_accuracy,0.9592000045776367,0.0024979959008230106,0.960933339436849,0.0012220231821188912,0.0017333348592122322,0.001514362863178219,3,3,0.18070630222478673
fresh_test,g05_full_reconstruction,1.0,total,absolute_sign_accuracy,0.8868666712443033,0.0028095144020238074,0.8842666702270506,0.0027153847445138177,-0.0026000010172526253,0.0027055536867903957,3,1,-0.29316706801088127
fresh_test,g05_full_reconstruction,1.0,total,absolute_sign_set_accuracy,0.8456666666666667,0.0037859388972001857,0.8403333333333333,0.0011547005383792527,-0.005333333333333338,0.004932882862316252,3,0,-0.6306661411115497
fresh_test,g05_full_reconstruction,1.0,total,charge_mae,0.2808539148966471,0.0024367250369803284,0.28330131467183434,0.002513820730750776,-0.002447399775187172,0.0023813066911002384,3,1,-0.8714138010459292
fresh_test,g05_full_reconstruction,1.0,total,charge_magnitude_mae,0.1569344418843587,0.00011624465395754481,0.15673625564575197,0.0004940927285613159,0.00019818623860677156,0.0005448449674983687,3,2,0.12628600594432313
fresh_test,g05_full_reconstruction,1.0,total,global_invariant_charge_mae,0.19397147242228194,0.001995850399729088,0.19547914377848308,0.003687818564423672,-0.0015076713562011586,0.005012933013971537,3,1,-0.7772644798606833
fresh_test,g05_full_reconstruction,1.0,total,global_sign_accuracy,0.8690000000000001,0.005291502622129186,0.8713333333333333,0.0020816659994661348,0.0023333333333333353,0.0037859388972001857,3,2,0.2685078634445725
fresh_test,g05_full_reconstruction,1.0,total,global_sign_bce,0.3054437147776286,0.005162195585052627,0.30171066093444826,0.002635448352572337,0.003733053843180345,0.0027201224211087314,3,3,1.2221740577959217
fresh_test,g05_full_reconstruction,1.0,total,loss_global_sign,0.3054437158902486,0.0051621965262927715,0.3017106618086497,0.002635446844005467,0.0037330540815989264,0.002720124925770604,3,3,1.2221741314004573
fresh_test,g05_full_reconstruction,1.0,total,loss_magnitude,0.07556007266044618,0.00035338766349159157,0.0752683101693789,0.0006195972898251662,0.00029176249106725266,0.0006114271525594883,3,2,0.38613315312490837
fresh_test,g05_full_reconstruction,1.0,total,loss_position,0.45805281853675844,0.008273670561109232,0.4224107003211975,0.006537851512244029,0.03564211821556094,0.008828976294411952,3,3,7.781224516731291
fresh_test,g05_full_reconstruction,1.0,total,loss_relative_sign,0.05843933526674907,0.002371273294415786,0.06307589256763459,0.006658140249454641,-0.00463655730088552,0.00894308273745091,3,1,-7.933966530799397
fresh_test,g05_full_reconstruction,1.0,total,loss_structure,0.5920522232055664,0.005775620476350356,0.5607549004554748,0.01026119903794601,0.03129732275009156,0.006622123242860705,3,3,5.286243598687547
fresh_test,g05_full_reconstruction,1.0,total,loss_total,0.897495939095815,0.010789304025735177,0.8624655622641245,0.011374519471383984,0.03503037683169049,0.006343487148397738,3,3,3.9031237140729513
fresh_test,g05_full_reconstruction,1.0,total,mean_position_3d_error,0.7550419921875,0.006032892992807985,0.7152871780395508,0.0066810409147841044,0.03975481414794927,0.007230219878264087,3,3,5.265245451153256
fresh_test,g05_full_reconstruction,1.0,total,mean_position_mae,0.37044185384114586,0.003318901783557219,0.3513395741780599,0.0032938235144526376,0.019102279663085957,0.003919745875355184,3,3,5.156620253627567
fresh_test,g05_full_reconstruction,1.0,total,observations_per_sample,32.0,0.0,32.0,0.0,0.0,0.0,3,0,0.0
fresh_test,g05_full_reconstruction,1.0,total,observed_sample_fraction,1.0,0.0,1.0,0.0,0.0,0.0,3,0,0.0
fresh_test,g05_full_reconstruction,1.0,total,pairwise_relative_sign_accuracy,0.9505333251953125,0.0025324691637583162,0.9484666646321614,0.0030550446362742206,-0.0020666605631510424,0.003951376553598063,3,1,-0.21742115803529471
fresh_test,g05_full_reconstruction,1.0,total,position_mae_x,0.4521470209757487,0.006130825311360397,0.42788636652628576,0.016316837807718126,0.024260654449462904,0.02008298584804634,3,3,5.365656152529233
fresh_test,g05_full_reconstruction,1.0,total,position_mae_y,0.43753745269775396,0.013652937414123371,0.41431804275512696,0.01484622172108011,0.023219409942626945,0.01566159223664937,3,3,5.306839402995441
fresh_test,g05_full_reconstruction,1.0,total,position_mae_z,0.2216410427093506,0.0009541395514915707,0.21181429290771484,0.005100187848623195,0.009826749801635734,0.005809342673667376,3,3,4.433632725019284
fresh_test,g05_full_reconstruction,1.0,total,relative_configuration_accuracy,0.9129999999999999,0.004582575694955844,0.9093333333333334,0.005507570547286107,-0.00366666666666667,0.006110100926607792,3,1,-0.4016064257028117
fresh_test,g05_full_reconstruction,1.0,total,relative_sign_accuracy,0.9597333323160807,0.002411082682569448,0.9580000101725261,0.002884435095538062,-0.0017333221435547053,0.00189033211618806,3,1,-0.18060455807779
fresh_test,g05_sign_only,1.0,structure,absolute_sign_accuracy,0.8875333328247069,0.00312623834514705,0.8868666687011718,0.003100536045776947,-0.000666664123535147,0.0028095147640993397,3,1,-0.07511426319205265
fresh_test,g05_sign_only,1.0,structure,absolute_sign_set_accuracy,0.8446666666666666,0.006806859285554052,0.8443333333333333,0.005773502691896262,-0.00033333333333333365,0.007505553499465143,3,2,-0.03946329913180746
fresh_test,g05_sign_only,1.0,structure,charge_mae,0.28130589993794763,0.004029569115827293,0.2834952220916748,0.003699436052368558,-0.00218932215372721,0.00365067631886366,3,1,-0.7782709691514275
fresh_test,g05_sign_only,1.0,structure,charge_magnitude_mae,0.15866256777445475,0.0006365019351583602,0.16025015958150227,0.0007923197984309316,-0.0015875918070475208,0.00030666586370675246,3,0,-1.000608920753348
fresh_test,g05_sign_only,1.0,structure,global_invariant_charge_mae,0.19556916173299155,0.0011987633265502812,0.19688824462890628,0.003934465904294365,-0.001319082895914712,0.0031510278554400563,3,1,-0.6744840977104773
fresh_test,g05_sign_only,1.0,structure,global_sign_accuracy,0.8736666666666667,0.0015275252316519481,0.8696666666666667,0.0025166114784235852,-0.0040000000000000036,0.0034641016151377583,3,0,-0.4578405188859218
fresh_test,g05_sign_only,1.0,structure,global_sign_bce,0.30752473640441896,0.0038556474864182596,0.30594607226053877,0.002880860117598853,0.0015786641438802114,0.00134024263943346,3,3,0.513345418107812
