split,model,fraction,seed,checkpoint_selection,metric,selected_candidate_id,baseline,selected,improvement,improvement_pct,accuracy_delta_pp
validation,g05_sign_only,1.0,41,structure,loss_global_sign,dropout020,0.34561516451835633,0.3426971724033356,0.002917992115020751,0.8442893757532941,
validation,g05_sign_only,1.0,41,structure,loss_magnitude,dropout020,0.07286872959136963,0.07385378813743591,-0.0009850585460662864,-1.3518261558699578,
validation,g05_sign_only,1.0,41,structure,loss_position,dropout020,0.45602763891220094,0.4472161099910736,0.008811528921127354,1.9322357175863718,
validation,g05_sign_only,1.0,41,structure,loss_relative_sign,dropout020,0.061768150627613067,0.06603196179866791,-0.004263811171054843,-6.902928333989545,
validation,g05_sign_only,1.0,41,structure,loss_structure,dropout020,0.5906645221710205,0.5871018548011779,0.003562667369842565,0.6031625797919573,
validation,g05_sign_only,1.0,41,structure,loss_total,dropout020,0.9362796866893768,0.9297990272045136,0.006480659484863205,0.6921713219880258,
validation,g05_sign_only,1.0,41,structure,absolute_sign_accuracy,dropout020,0.8806000137329102,0.8745999908447266,-0.006000022888183576,-0.681356211062178,-0.6000022888183576
validation,g05_sign_only,1.0,41,structure,absolute_sign_set_accuracy,dropout020,0.842,0.839,-0.0030000000000000027,-0.3562945368171025,-0.30000000000000027
validation,g05_sign_only,1.0,41,structure,charge_mae,dropout020,0.2821016960144043,0.2929573783874512,-0.010855682373046849,-3.848145022315835,
validation,g05_sign_only,1.0,41,structure,charge_magnitude_mae,dropout020,0.15328179359436034,0.15511098670959472,-0.0018291931152343843,-1.1933531519569103,
validation,g05_sign_only,1.0,41,structure,global_invariant_charge_mae,dropout020,0.1856759090423584,0.18656410598754883,-0.0008881969451904337,-0.4783587433455401,
validation,g05_sign_only,1.0,41,structure,global_sign_accuracy,dropout020,0.857,0.855,-0.0020000000000000018,-0.23337222870478433,-0.20000000000000018
validation,g05_sign_only,1.0,41,structure,global_sign_bce,dropout020,0.345615161895752,0.34269717025756835,0.0029179916381836257,0.8442892441922963,
validation,g05_sign_only,1.0,41,structure,mean_position_3d_error,dropout020,0.7451625061035156,0.7365636215209961,0.008598884582519561,1.1539609832871853,
validation,g05_sign_only,1.0,41,structure,mean_position_mae,dropout020,0.3659396247863769,0.3611709747314453,0.0047686500549316,1.303124814022361,
validation,g05_sign_only,1.0,41,structure,observations_per_sample,dropout020,32.0,32.0,0.0,0.0,
validation,g05_sign_only,1.0,41,structure,observed_sample_fraction,dropout020,1.0,1.0,0.0,0.0,
validation,g05_sign_only,1.0,41,structure,pairwise_relative_sign_accuracy,dropout020,0.954599983215332,0.954999984741211,0.00040000152587893467,0.041902528065381826,0.04000015258789347
validation,g05_sign_only,1.0,41,structure,position_mae_x,dropout020,0.4497040710449219,0.4230592460632324,0.026644824981689463,5.924968595409459,
validation,g05_sign_only,1.0,41,structure,position_mae_y,dropout020,0.42625172424316404,0.44331318664550784,-0.017061462402343797,-4.0026729352561485,
validation,g05_sign_only,1.0,41,structure,position_mae_z,dropout020,0.22186301994323732,0.21714043045043946,0.004722589492797857,2.128605972282407,
validation,g05_sign_only,1.0,41,structure,relative_configuration_accuracy,dropout020,0.919,0.92,0.0010000000000000009,0.1088139281828075,0.10000000000000009
validation,g05_sign_only,1.0,41,structure,relative_sign_accuracy,dropout020,0.9612000045776368,0.9620000076293945,0.0008000030517577583,0.08322961381063347,0.08000030517577583
validation,g05_sign_only,1.0,41,total,loss_global_sign,dropout020,0.34561516451835633,0.3426971724033356,0.002917992115020751,0.8442893757532941,
validation,g05_sign_only,1.0,41,total,loss_magnitude,dropout020,0.07286872959136963,0.07385378813743591,-0.0009850585460662864,-1.3518261558699578,
validation,g05_sign_only,1.0,41,total,loss_position,dropout020,0.45602763891220094,0.4472161099910736,0.008811528921127354,1.9322357175863718,
validation,g05_sign_only,1.0,41,total,loss_relative_sign,dropout020,0.061768150627613067,0.06603196179866791,-0.004263811171054843,-6.902928333989545,
validation,g05_sign_only,1.0,41,total,loss_structure,dropout020,0.5906645221710205,0.5871018548011779,0.003562667369842565,0.6031625797919573,
validation,g05_sign_only,1.0,41,total,loss_total,dropout020,0.9362796866893768,0.9297990272045136,0.006480659484863205,0.6921713219880258,
validation,g05_sign_only,1.0,41,total,absolute_sign_accuracy,dropout020,0.8806000137329102,0.8745999908447266,-0.006000022888183576,-0.681356211062178,-0.6000022888183576
validation,g05_sign_only,1.0,41,total,absolute_sign_set_accuracy,dropout020,0.842,0.839,-0.0030000000000000027,-0.3562945368171025,-0.30000000000000027
validation,g05_sign_only,1.0,41,total,charge_mae,dropout020,0.2821016960144043,0.2929573783874512,-0.010855682373046849,-3.848145022315835,
validation,g05_sign_only,1.0,41,total,charge_magnitude_mae,dropout020,0.15328179359436034,0.15511098670959472,-0.0018291931152343843,-1.1933531519569103,
validation,g05_sign_only,1.0,41,total,global_invariant_charge_mae,dropout020,0.1856759090423584,0.18656410598754883,-0.0008881969451904337,-0.4783587433455401,
validation,g05_sign_only,1.0,41,total,global_sign_accuracy,dropout020,0.857,0.855,-0.0020000000000000018,-0.23337222870478433,-0.20000000000000018
validation,g05_sign_only,1.0,41,total,global_sign_bce,dropout020,0.345615161895752,0.34269717025756835,0.0029179916381836257,0.8442892441922963,
