g05_fraction,g05_count_per_sample,run_count,std_definition,position_mae_x1_mean,position_mae_x1_std,position_mae_y1_mean,position_mae_y1_std,position_mae_z1_mean,position_mae_z1_std,position_mae_x2_mean,position_mae_x2_std,position_mae_y2_mean,position_mae_y2_std,position_mae_z2_mean,position_mae_z2_std,position_error_1_mean,position_error_1_std,position_error_2_mean,position_error_2_std,mean_position_error_mean,mean_position_error_std,charge_magnitude_mae_mean,charge_magnitude_mae_std,relative_sign_accuracy_mean,relative_sign_accuracy_std,absolute_sign_accuracy_mean,absolute_sign_accuracy_std,global_sign_accuracy_mean,global_sign_accuracy_std,signed_pair_accuracy_mean,signed_pair_accuracy_std
0.0,0,3,sample std (ddof=1),0.11529654264450073,0.007483365014195442,0.16948950290679932,0.01936482824385166,0.11361370235681534,0.011284726671874523,0.11558571457862854,0.0066942377015948296,0.17737235128879547,0.025429880246520042,0.12068381160497665,0.014912871643900871,0.2712494134902954,0.025795545125077417,0.2822333375612895,0.03447106641217129,0.2767413755257924,0.029855902366979648,0.10297303398450215,0.005684430416961991,0.999,0.0,,,,,,
0.1,3,3,sample std (ddof=1),0.12325223535299301,0.015228562988340855,0.1820802539587021,0.027259385213255882,0.12573076784610748,0.013103111647069454,0.127188041806221,0.01260323729366064,0.18114237487316132,0.014899852685630322,0.12705564498901367,0.011065656319260597,0.29264108339945477,0.03776002112268996,0.29678308963775635,0.02454043321429301,0.29471208651860553,0.03096345955649388,0.13914823035399118,0.005483483231339614,0.9836666666666667,0.0041633319989322695,0.9701666666666666,0.0015275252316519481,0.971,0.0,0.9620000000000001,0.002645751311064593
0.25,8,3,sample std (ddof=1),0.12329769134521484,0.0060018086805939674,0.17709475755691528,0.003329644212499261,0.12145557254552841,0.0029512555338442326,0.12719960510730743,0.0024464025627821684,0.1751718670129776,0.0038562361150979996,0.1249077096581459,0.005013642832636833,0.2867283225059509,0.006133859690801122,0.2897163728872935,0.0049416960723312475,0.2882223476966222,0.005536248160344881,0.1384597768386205,0.0008373079360653216,0.984,0.002645751311064593,0.9726666666666667,0.002843120351538643,0.972,0.003464101615137758,0.9646666666666667,0.0030550504633038962
0.5,16,3,sample std (ddof=1),0.13494473695755005,0.007610864471644163,0.19511862099170685,0.00536571117118001,0.13186298310756683,0.00294952723197639,0.13517668843269348,0.004564328119158745,0.19727438688278198,0.0014213233953341842,0.13888615369796753,0.004371150862425566,0.3127761483192444,0.009602072386285071,0.32043899099032086,0.005758040070105989,0.3166075696547826,0.003274540192874799,0.1427928606669108,0.002342975864515052,0.9836666666666667,0.0011547005383792527,0.9758333333333334,0.0011547005383792527,0.9776666666666666,0.0011547005383792527,0.9676666666666667,0.0005773502691896263
0.75,24,3,sample std (ddof=1),0.12025605887174606,0.004812596365809441,0.17839394509792328,0.006242359988391399,0.11514776200056076,0.0034741803538054228,0.1273082047700882,0.0038893353193998337,0.17631347477436066,0.0035754407290369272,0.12341172248125076,0.0042899237014353275,0.2818332215150197,0.008032833276278295,0.2900867859522502,0.005734666491215615,0.28596000373363495,0.005123676359310894,0.135667418440183,0.0028384666870723786,0.9819999999999999,0.0020000000000000018,0.972,0.007000000000000006,0.9733333333333333,0.0066583281184794,0.963,0.007211102550927985
1.0,32,3,sample std (ddof=1),0.13202892243862152,0.008058618754148483,0.1999201774597168,0.01900334469974041,0.1327493041753769,0.005965540651232004,0.13413721323013306,0.006818048190325499,0.19945919513702393,0.019936414435505867,0.13074414432048798,0.008715405128896236,0.31515153249104816,0.021934766258436614,0.317740519841512,0.02171669083614786,0.3164460261662801,0.021788129371943545,0.14124442636966705,0.0058955585444134505,0.9816666666666666,0.004041451884327384,0.9738333333333333,0.004536885862938717,0.975,0.005291502622129186,0.9646666666666667,0.006027713773341713
