epoch,train_total,train_structure,train_position,train_magnitude,train_relative_sign,train_global_sign,validation_total,validation_structure,validation_position,validation_magnitude,validation_relative_sign,validation_global_sign
1,1.8347825455665587,1.1480492649078369,0.7980349898338318,0.09667040240764618,0.253343878865242,0.686733280658722,1.638302463531494,0.9612925500869751,0.7554327239990234,0.08527784365415574,0.12058198416233062,0.677009913444519
2,1.542900276184082,0.8999905171394348,0.7258290381431579,0.08473480814695358,0.08942667692899704,0.6429097590446472,1.4525248703956604,0.8548633589744568,0.6902830414772033,0.08097338193655014,0.08360694831609726,0.5976615114212036
3,1.3705570411682129,0.8394197998046875,0.6803605980873108,0.08198352736234665,0.07707567739486694,0.5311372413635254,1.3012368025779724,0.8051767892837525,0.6528907380104065,0.08066436207294464,0.07162169152498245,0.49606001329421995
4,1.22687100315094,0.795707109451294,0.6469470882415771,0.08056301474571229,0.06819701236486435,0.431163893699646,1.1922525386810303,0.7680816268920898,0.621014157295227,0.07913523590564728,0.06793224036693574,0.42417091178894045
5,1.1454327068328858,0.7620196952819824,0.618764419078827,0.07932239776849746,0.06393287903070449,0.3834130115509033,1.1486727674007415,0.7494564385414123,0.5982249660491943,0.07834706467390061,0.07288439738750457,0.39921632885932923
6,1.0973912768363951,0.737513355255127,0.5972167677879333,0.07875995850563049,0.061536630749702455,0.3598779215812683,1.1156349408626556,0.7286916909217834,0.5875178179740905,0.07775552010536194,0.06341834557056426,0.3869432499408722
7,1.069190884590149,0.7211903266906738,0.5818159346580505,0.07824429422616959,0.061130097806453704,0.3480005578994751,1.078758174419403,0.702561800956726,0.5649912648200989,0.07688269257545471,0.06068783923983574,0.376196373462677
8,1.0447225179672242,0.7031676917076111,0.5666913375854492,0.07809188669919967,0.058384474515914914,0.34155482625961303,1.061573260784149,0.6918835544586182,0.5500120034217835,0.07654833513498306,0.06532320734858513,0.369689706325531
9,1.0240314878225327,0.6900478858947754,0.5545455942153931,0.07782919597625733,0.05767309999465942,0.3339836019277573,1.0553569052219391,0.6778422656059265,0.5398434019088745,0.07627364647388458,0.06172522553801536,0.37751463961601256
10,1.0082164855003357,0.6771269345283508,0.5447774209976196,0.0771231753230095,0.055226338237524035,0.33108955097198484,1.0360157070159912,0.6726696844100952,0.5348741021156311,0.07641536337137222,0.061380220621824265,0.363346022605896
11,0.9992910509109497,0.6684465065002442,0.5356873104572296,0.07694653862714768,0.055812655478715896,0.33084454441070554,1.034440454006195,0.6737000727653504,0.5376207871437073,0.0758674253821373,0.06021186950802803,0.36074038124084473
