model,confidence_lower,count,mean_confidence,accuracy
sign_only_best,0.5,31,0.522538959980011,0.5161290168762207
sign_only_best,0.55,32,0.5775038003921509,0.59375
sign_only_best,0.6000000000000001,41,0.6260114908218384,0.6585366129875183
sign_only_best,0.6500000000000001,36,0.6723935604095459,0.75
sign_only_best,0.7000000000000002,42,0.7240669131278992,0.761904776096344
sign_only_best,0.7500000000000002,63,0.7758601903915405,0.8095238208770752
sign_only_best,0.8000000000000003,60,0.8276296257972717,0.8666666746139526
sign_only_best,0.8500000000000003,96,0.8753905892372131,0.8229166865348816
sign_only_best,0.9000000000000004,194,0.9275524616241455,0.9329897165298462
sign_only_best,0.9500000000000004,405,0.9740927815437317,0.9555555582046509
full_best,0.5,23,0.5256191492080688,0.3478260934352875
full_best,0.55,36,0.5715535879135132,0.7222222089767456
full_best,0.6000000000000001,42,0.6262648105621338,0.6904761791229248
full_best,0.6500000000000001,45,0.6760753393173218,0.7111111283302307
full_best,0.7000000000000002,44,0.7248998284339905,0.75
full_best,0.7500000000000002,61,0.7770089507102966,0.8524590134620667
full_best,0.8000000000000003,73,0.8273231983184814,0.8767123222351074
full_best,0.8500000000000003,106,0.8750091195106506,0.8113207817077637
full_best,0.9000000000000004,189,0.9287844300270081,0.9259259104728699
full_best,0.9500000000000004,381,0.9718950986862183,0.960629940032959
full_latest,0.5,38,0.5298670530319214,0.5789473652839661
full_latest,0.55,30,0.5722190141677856,0.6666666865348816
full_latest,0.6000000000000001,36,0.6242610812187195,0.5833333134651184
full_latest,0.6500000000000001,31,0.6763127446174622,0.6129032373428345
full_latest,0.7000000000000002,32,0.7255042195320129,0.75
full_latest,0.7500000000000002,52,0.7752684354782104,0.8269230723381042
full_latest,0.8000000000000003,66,0.8274202346801758,0.8636363744735718
full_latest,0.8500000000000003,85,0.8765758872032166,0.8352941274642944
full_latest,0.9000000000000004,172,0.928580105304718,0.9069767594337463
full_latest,0.9500000000000004,458,0.9789450168609619,0.9563318490982056
