test_example_index,mean_position_mae,mean_position_3d_error,position_mae_x,position_mae_y,position_mae_z,charge_magnitude_mae,charge_mae,global_invariant_charge_mae,relative_sign_accuracy,relative_configuration_accuracy,global_sign_accuracy,absolute_sign_accuracy,absolute_sign_set_accuracy,geometric_relative_sign_accuracy,geometric_relative_configuration_accuracy,geometric_mean_position_3d_error,relative_negative_count_accuracy,global_probability,global_target,global_confidence,relative_confidence,global_oracle_charge_mae,field_relative_l2,magnitude_field_relative_l2,g00_relative_l2
1629,0.31639254093170166,0.6484541296958923,0.3453543186187744,0.5119418501853943,0.09188138693571091,0.20913536846637726,0.20913536846637726,0.20913536846637726,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6484541296958923,1.0,0.06405813992023468,0.0,0.9359418749809265,1.0,0.20913536846637726,0.8435905776327307,0.8018829562357609,2.0840478936379325
6384,0.3394729793071747,0.6942310929298401,0.4041440188884735,0.4847885072231293,0.12948639690876007,0.2658545672893524,0.2658545672893524,0.2658545672893524,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6942310929298401,1.0,0.0021967461798340082,0.0,0.997803270816803,1.0,0.2658545672893524,0.34389001870585206,0.2838135908174443,0.8100185900854632
9436,0.4031507074832916,0.8605030179023743,0.3386228084564209,0.7198594212532043,0.15096986293792725,0.1664673089981079,0.1664673089981079,0.1664673089981079,1.0,1.0,1.0,1.0,1.0,0.6000000238418579,0.0,0.6408194899559021,1.0,0.9753554463386536,1.0,0.9753554463386536,1.0,0.1664673089981079,0.4859918898276349,0.41919561761388885,0.622887798437599
5028,0.42009758949279785,0.8447543382644653,0.30666637420654297,0.6400766372680664,0.31354981660842896,0.24515977501869202,0.24515977501869202,0.24515977501869202,1.0,1.0,1.0,1.0,1.0,0.6000000238418579,0.0,0.7706306576728821,1.0,0.0054601263254880905,0.0,0.9945398569107056,1.0,0.24515977501869202,0.13926193910132897,0.13926193910132897,0.2549242064344143
4722,0.2537473142147064,0.5049201250076294,0.36808282136917114,0.21318407356739044,0.1799750030040741,0.3035605847835541,0.3035605847835541,0.3035605847835541,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5049201250076294,1.0,0.7010049223899841,1.0,0.7010049223899841,0.8439159989356995,0.3035605847835541,0.42216981318445235,0.42216981318445235,0.6277125147435497
7930,0.6549595594406128,1.4970176219940186,0.689271092414856,1.1568386554718018,0.11876914650201797,0.21721644699573517,0.21721644699573517,0.21721644699573517,1.0,1.0,1.0,1.0,1.0,0.6000000238418579,0.0,1.4194443225860596,1.0,0.015463690273463726,0.0,0.9845362901687622,0.9971055388450623,0.21721644699573517,0.21238756806933237,0.21238756806933237,0.3355963647463418
2785,0.3270781338214874,0.6231935024261475,0.34498223662376404,0.37903881072998047,0.2572133541107178,0.08483827859163284,0.08483827859163284,0.08483827859163284,1.0,1.0,1.0,1.0,1.0,0.6000000238418579,0.0,0.4622785151004791,1.0,0.02146254852414131,0.0,0.9785374402999878,0.9998952150344849,0.08483827859163284,0.26899318133515476,0.26899318133515476,0.49835103675834264
5523,0.4048354923725128,0.8032063841819763,0.4695148169994354,0.5826172232627869,0.16237452626228333,0.2545750141143799,0.2545750141143799,0.2545750141143799,1.0,1.0,1.0,1.0,1.0,0.6000000238418579,0.0,0.47243043780326843,1.0,0.6409838199615479,1.0,0.6409838199615479,1.0,0.2545750141143799,0.5789230251929318,0.5561959235043742,1.0818564444711956
1488,0.4629128873348236,0.9202873110771179,0.589067280292511,0.4803525507450104,0.31931889057159424,0.10069781541824341,0.10069781541824341,0.10069781541824341,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9202873110771179,1.0,0.001956659136340022,0.0,0.9980433583259583,0.9999997615814209,0.10069781541824341,0.400701206070028,0.400701206070028,1.1089577170907945
8763,0.3863849937915802,0.7851787805557251,0.3991050124168396,0.5170486569404602,0.24300126731395721,0.15222926437854767,0.15222926437854767,0.15222926437854767,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7851787805557251,1.0,0.9337526559829712,1.0,0.9337526559829712,1.0,0.15222926437854767,0.7007339205853523,0.6371427796979482,0.9519432289741177
