seed,model,fraction,selection,epoch,position_mae_x,position_mae_y,position_mae_z,mean_position_mae,mean_position_3d_error,charge_magnitude_mae,relative_sign_accuracy,relative_configuration_accuracy,pairwise_relative_sign_accuracy,charge_mae,global_invariant_charge_mae,global_sign_accuracy,global_sign_bce,absolute_sign_accuracy,absolute_sign_set_accuracy,observed_sample_fraction,observations_per_sample,max_abs_difference_from_saved
43,g05_full_reconstruction,0.0,structure,31,0.4418797950744629,0.45999319076538087,0.22261006546020506,0.3748277015686035,0.7661625061035157,0.15873043632507325,0.9596000137329102,0.909,0.9473999938964843,0.19724883460998535,0.19724883460998535,,,,,0.0,0.0,0.0
43,g05_full_reconstruction,0.0,total,31,0.4418797950744629,0.45999319076538087,0.22261006546020506,0.3748277015686035,0.7661625061035157,0.15873043632507325,0.9596000137329102,0.909,0.9473999938964843,0.19724883460998535,0.19724883460998535,,,,,0.0,0.0,0.0
43,g05_full_reconstruction,0.0,latest,300,0.5089628868103028,0.5258985900878906,0.2561927757263184,0.4303514289855957,0.8850084762573243,0.1914725170135498,0.9432000045776368,0.88,0.9324000015258789,0.23850854873657226,0.23850854873657226,,,,,0.0,0.0,
43,g05_full_reconstruction,0.1,structure,27,0.45175109481811526,0.44481019592285154,0.22720494842529296,0.37458877182006833,0.7648545761108398,0.15770724487304688,0.9628000030517578,0.917,0.9521999893188476,0.3081384162902832,0.19312393188476562,0.848,0.3679371490478516,0.8652000045776367,0.827,1.0,3.0,0.0
43,g05_full_reconstruction,0.1,total,29,0.44332362365722655,0.4461059989929199,0.2233663558959961,0.37093201065063475,0.7574405746459961,0.15662462425231932,0.9572000045776368,0.908,0.9477999954223633,0.30387536239624025,0.19459290313720704,0.852,0.3691210708618164,0.8676000061035156,0.824,1.0,3.0,0.0
43,g05_full_reconstruction,0.1,latest,300,0.5134308586120605,0.5278657684326172,0.2600739002227783,0.4337901840209961,0.8891261672973633,0.18996225547790527,0.9507999801635743,0.892,0.9382000045776367,0.350935417175293,0.23305419349670412,0.853,0.36336350631713865,0.8501999969482422,0.798,1.0,3.0,
43,g05_full_reconstruction,0.25,structure,33,0.444386775970459,0.4544422607421875,0.2215600070953369,0.3734630241394043,0.7628705673217774,0.15586507225036622,0.96,0.909,0.9471999969482422,0.2826988143920898,0.19522592735290528,0.87,0.3496052207946777,0.8852000045776367,0.842,1.0,8.0,0.0
43,g05_full_reconstruction,0.25,total,29,0.44799478912353513,0.4492935676574707,0.22292701530456543,0.3734051399230957,0.7632284317016601,0.1567006893157959,0.9551999893188476,0.904,0.9455999984741211,0.2793896141052246,0.1968803291320801,0.87,0.3533282356262207,0.8883999938964844,0.842,1.0,8.0,0.0
43,g05_full_reconstruction,0.25,latest,300,0.5146302261352539,0.5236397552490234,0.26621175384521484,0.4348272666931152,0.8905683364868164,0.1906382141113281,0.9563999862670899,0.902,0.9434000091552734,0.32270653915405273,0.23092548179626465,0.869,0.3375175704956055,0.8766000061035156,0.829,1.0,8.0,
43,g05_full_reconstruction,0.5,structure,33,0.44515294647216797,0.45429349899291993,0.2214264850616455,0.3736243209838867,0.7612381362915039,0.15664954566955566,0.9583999938964843,0.908,0.9472000122070312,0.2809989128112793,0.19526694107055664,0.873,0.34209753036499024,0.8866000061035156,0.845,1.0,16.0,0.0
43,g05_full_reconstruction,0.5,total,41,0.44415258026123045,0.4422540626525879,0.21934764099121093,0.3685847625732422,0.7532633972167969,0.15680460739135743,0.9591999893188476,0.911,0.9491999969482422,0.281919376373291,0.1940133285522461,0.875,0.33621891021728517,0.887000015258789,0.846,1.0,16.0,0.0
43,g05_full_reconstruction,0.5,latest,300,0.5019665145874024,0.5170387878417969,0.25088938331604005,0.42329824829101564,0.8676919403076172,0.18981163215637206,0.951999984741211,0.897,0.9416000137329101,0.3301767501831055,0.22982106971740723,0.868,0.341950626373291,0.8679999923706054,0.819,1.0,16.0,
43,g05_full_reconstruction,0.75,structure,26,0.4521459541320801,0.45148019409179685,0.22397129440307617,0.3758658332824707,0.7650309982299804,0.15612986183166505,0.9595999908447266,0.91,0.9482000045776368,0.2803335628509521,0.19492389488220216,0.875,0.34150933074951173,0.8882000045776367,0.848,1.0,24.0,0.0
43,g05_full_reconstruction,0.75,total,36,0.4514920654296875,0.4476106948852539,0.22177762603759765,0.3736267967224121,0.7605389175415039,0.1562613410949707,0.9587999877929687,0.91,0.9486000061035156,0.28507897186279296,0.19325004005432128,0.875,0.336909610748291,0.8833999938964844,0.843,1.0,24.0,0.0
43,g05_full_reconstruction,0.75,latest,300,0.5184556655883789,0.5138915824890137,0.25871559715271,0.4303542938232422,0.8805351104736329,0.18633286476135255,0.9524000091552735,0.895,0.9398000106811524,0.3271935749053955,0.22876369094848634,0.866,0.33879145050048826,0.8687999877929687,0.819,1.0,24.0,
43,g05_full_reconstruction,1.0,structure,26,0.44576039505004883,0.4478859405517578,0.22184802436828613,0.37183147048950194,0.7598246459960938,0.15529882049560548,0.9632000045776368,0.918,0.9527999877929687,0.2787014503479004,0.18934203720092774,0.871,0.33680766296386716,0.8886000061035156,0.852,1.0,32.0,0.0
43,g05_full_reconstruction,1.0,total,26,0.44576039505004883,0.4478859405517578,0.22184802436828613,0.37183147048950194,0.7598246459960938,0.15529882049560548,0.9632000045776368,0.918,0.9527999877929687,0.2787014503479004,0.18934203720092774,0.871,0.33680766296386716,0.8886000061035156,0.852,1.0,32.0,0.0
43,g05_full_reconstruction,1.0,latest,300,0.5127698173522949,0.5264060134887696,0.25607661056518555,0.4317508201599121,0.8871151351928711,0.1906209011077881,0.9515999984741211,0.897,0.9418000106811524,0.33320795822143556,0.23014623832702635,0.871,0.33161468887329104,0.869,0.819,1.0,32.0,
43,g05_sign_only,0.0,structure,31,0.4418797950744629,0.45999319076538087,0.22261006546020506,0.3748277015686035,0.7661625061035157,0.15873043632507325,0.9596000137329102,0.909,0.9473999938964843,0.19724883460998535,0.19724883460998535,,,,,0.0,0.0,0.0
43,g05_sign_only,0.0,total,31,0.4418797950744629,0.45999319076538087,0.22261006546020506,0.3748277015686035,0.7661625061035157,0.15873043632507325,0.9596000137329102,0.909,0.9473999938964843,0.19724883460998535,0.19724883460998535,,,,,0.0,0.0,0.0
43,g05_sign_only,0.0,latest,300,0.5089628868103028,0.5258985900878906,0.2561927757263184,0.4303514289855957,0.8850084762573243,0.1914725170135498,0.9432000045776368,0.88,0.9324000015258789,0.23850854873657226,0.23850854873657226,,,,,0.0,0.0,
