test_example_index,mean_position_mae,mean_position_3d_error,position_mae_x,position_mae_y,position_mae_z,charge_magnitude_mae,charge_mae,global_invariant_charge_mae,relative_sign_accuracy,relative_configuration_accuracy,global_sign_accuracy,absolute_sign_accuracy,absolute_sign_set_accuracy,geometric_relative_sign_accuracy,geometric_relative_configuration_accuracy,geometric_mean_position_3d_error,relative_negative_count_accuracy,global_probability,global_target,global_confidence,relative_confidence,global_oracle_charge_mae,field_relative_l2,magnitude_field_relative_l2,g00_relative_l2
750,0.2635788321495056,0.5452131032943726,0.290108859539032,0.3185274302959442,0.18210023641586304,0.13675148785114288,0.13675148785114288,0.13675148785114288,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5452131032943726,1.0,0.5679545998573303,1.0,0.5679545998573303,0.8595932722091675,0.13675148785114288,0.2778119339215916,0.27585151996558444,0.7032429351336199
6564,0.39136216044425964,0.8275473713874817,0.5725096464157104,0.3678668141365051,0.2337098866701126,0.07872427999973297,0.07872427999973297,0.07872427999973297,1.0,1.0,1.0,1.0,1.0,0.6000000238418579,0.0,0.7587283253669739,1.0,0.8650304079055786,1.0,0.8650304079055786,0.9232190251350403,0.07872427999973297,0.1898086138453569,0.1898086138453569,0.31019967318348823
8993,0.543493390083313,1.0760788917541504,0.8142269253730774,0.5883401036262512,0.22791306674480438,0.19302332401275635,0.19302332401275635,0.19302332401275635,1.0,1.0,1.0,1.0,1.0,0.6000000238418579,0.0,0.9900416731834412,1.0,0.02972816862165928,0.0,0.9702718257904053,0.9999303817749023,0.19302332401275635,1.0352135262123534,0.9330680048066533,1.168495324460603
1971,0.5041251182556152,0.9670435190200806,0.41644784808158875,0.6909534335136414,0.4049738943576813,0.2185928374528885,0.8310556411743164,0.7617244720458984,0.6000000238418579,0.0,0.0,0.4000000059604645,0.0,0.20000000298023224,0.0,0.5306870341300964,0.0,0.9156967401504517,0.0,0.9156967401504517,0.9286693334579468,0.7617244720458984,0.2720420287258267,0.2720420287258267,0.6981419912271042
9883,0.5160408020019531,1.082904577255249,0.4103755056858063,0.8524195551872253,0.2853274345397949,0.14916887879371643,0.14916887879371643,0.14916887879371643,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.082904577255249,1.0,0.9151867032051086,1.0,0.9151867032051086,0.9996520280838013,0.14916887879371643,0.3429161278847767,0.3429161278847767,0.7655405986830559
1800,0.5121151804924011,1.0376166105270386,0.518086850643158,0.817432701587677,0.2008260041475296,0.15723916888237,0.15723916888237,0.15723916888237,1.0,1.0,1.0,1.0,1.0,0.6000000238418579,0.0,1.0150387287139893,1.0,0.8697881102561951,1.0,0.8697881102561951,0.9991455078125,0.15723916888237,0.35508305745077706,0.3423055646345179,0.533120173918564
7853,0.4066527187824249,0.823810875415802,0.4351276457309723,0.5000261664390564,0.28480440378189087,0.17735986411571503,0.17735986411571503,0.17735986411571503,1.0,1.0,1.0,1.0,1.0,0.6000000238418579,0.0,0.7590513229370117,1.0,0.13407675921916962,0.0,0.8659232258796692,0.9198938608169556,0.17735986411571503,0.5067434802974493,0.46481353053850444,0.6854718777326276
1832,0.4456927478313446,0.9040420651435852,0.5897740721702576,0.45842811465263367,0.2888760268688202,0.2119973748922348,0.2119973748922348,0.2119973748922348,1.0,1.0,1.0,1.0,1.0,0.6000000238418579,0.0,0.8251247406005859,1.0,0.9361690282821655,1.0,0.9361690282821655,0.99290931224823,0.2119973748922348,0.3490684302196337,0.3388862971186011,0.7090246788715255
2929,0.20239250361919403,0.47246620059013367,0.2319701761007309,0.30923619866371155,0.06597118824720383,0.11779806762933731,0.11779806762933731,0.11779806762933731,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47246620059013367,1.0,0.021251056343317032,0.0,0.9787489175796509,0.9986715316772461,0.11779806762933731,0.30081924181368624,0.26189896257478124,0.49135063102875337
3001,0.3903224468231201,0.7606098055839539,0.41229531168937683,0.5700182318687439,0.18865381181240082,0.1334344893693924,0.1334344893693924,0.1334344893693924,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7606098055839539,1.0,0.0191279798746109,0.0,0.9808720350265503,0.9965236783027649,0.1334344893693924,0.16941594617944017,0.16838866717162088,0.38132155461682954
5593,0.5158279538154602,1.0180017948150635,0.8214252591133118,0.477497398853302,0.24856118857860565,0.23764167726039886,0.23764167726039886,0.23764167726039886,1.0,1.0,1.0,1.0,1.0,0.6000000238418579,0.0,1.0122156143188477,1.0,0.984237015247345,1.0,0.984237015247345,0.9996346235275269,0.23764167726039886,0.3870719088865628,0.3846398536691285,1.2119277418826957
5315,0.4151216745376587,0.8244867324829102,0.581304669380188,0.4508778154850006,0.21318243443965912,0.06660377234220505,0.06660377234220505,0.06660377234220505,1.0,1.0,1.0,1.0,1.0,0.6000000238418579,0.0,0.7283504009246826,1.0,0.1519097089767456,0.0,0.8480902910232544,0.9999361038208008,0.06660377234220505,0.4893536878711455,0.4350458513732193,0.6072375424744512
2541,0.4725891649723053,0.903244137763977,0.49411526322364807,0.481560081243515,0.4420921504497528,0.0984770655632019,1.2992745637893677,0.0984770655632019,1.0,1.0,0.0,0.0,0.0,0.20000000298023224,0.0,0.8035938143730164,1.0,0.93353670835495,0.0,0.93353670835495,0.9999594688415527,0.0984770655632019,0.9983665495679032,0.8998054565718682,0.9971218715078382
9561,0.4105919599533081,0.8690716028213501,0.3830038011074066,0.6578132510185242,0.19095882773399353,0.18713197112083435,0.18713197112083435,0.18713197112083435,1.0,1.0,1.0,1.0,1.0,0.6000000238418579,0.0,0.8695549964904785,1.0,0.9042962193489075,1.0,0.9042962193489075,0.8980305790901184,0.18713197112083435,0.11376335651064488,0.11376335651064488,0.2296918238296722
3562,0.35036423802375793,0.7220053672790527,0.41326481103897095,0.5064100027084351,0.1314179003238678,0.10803717374801636,0.10803717374801636,0.10803717374801636,1.0,1.0,1.0,1.0,1.0,0.6000000238418579,0.0,0.7284447550773621,1.0,0.9873310923576355,1.0,0.9873310923576355,0.9240735173225403,0.10803717374801636,0.196664647733957,0.196664647733957,0.3219202328709266
6717,0.5904743075370789,1.167047142982483,0.8289316296577454,0.6934009790420532,0.24909019470214844,0.12174546718597412,0.12174546718597412,0.12174546718597412,1.0,1.0,1.0,1.0,1.0,0.20000000298023224,0.0,0.9538423418998718,1.0,0.9268144965171814,1.0,0.9268144965171814,0.9998588562011719,0.12174546718597412,0.7488597079131747,0.6627454193438486,0.8017843971110948
8168,0.4234958589076996,0.861238420009613,0.689599871635437,0.38963016867637634,0.19125747680664062,0.23750577867031097,0.23750577867031097,0.23750577867031097,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.861238420009613,1.0,0.05465381592512131,0.0,0.9453461766242981,0.8972356915473938,0.23750577867031097,0.25120598911421166,0.25120598911421166,0.5535484962459359
7261,0.292456716299057,0.5883265733718872,0.23369674384593964,0.3819252550601959,0.2617480456829071,0.162575826048851,0.162575826048851,0.162575826048851,1.0,1.0,1.0,1.0,1.0,0.6000000238418579,0.0,0.4444602429866791,1.0,0.11518238484859467,0.0,0.8848176002502441,0.9997192025184631,0.162575826048851,0.5155316234537247,0.5137360397585138,0.8460284042955072
6635,0.31200864911079407,0.6219298243522644,0.29729607701301575,0.43666574358940125,0.20206408202648163,0.21249739825725555,0.21249739825725555,0.21249739825725555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6219298243522644,1.0,0.9801943302154541,1.0,0.9801943302154541,0.9873554110527039,0.21249739825725555,0.3148511986338333,0.3148511986338333,0.912568179182474
4516,0.40140727162361145,0.90394127368927,0.3218207359313965,0.7607725262641907,0.12162851542234421,0.1884019672870636,0.1884019672870636,0.1884019672870636,1.0,1.0,1.0,1.0,1.0,0.6000000238418579,0.0,0.8355956077575684,1.0,0.019388889893889427,0.0,0.9806110858917236,0.9979096055030823,0.1884019672870636,0.5174442820392733,0.4783628090125142,0.7312929863647183
5003,0.36456021666526794,0.8553563356399536,0.5650202631950378,0.3720303475856781,0.15662993490695953,0.15415744483470917,0.15415744483470917,0.15415744483470917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8553563356399536,1.0,0.3576827645301819,0.0,0.6423172354698181,0.7877321839332581,0.15415744483470917,0.2048927229819179,0.2048927229819179,0.709819796719229
9066,0.2999807596206665,0.5854217410087585,0.37368378043174744,0.32541224360466003,0.20084618031978607,0.13451214134693146,0.6841856837272644,0.5138436555862427,0.6000000238418579,0.0,0.0,0.4000000059604645,0.0,0.20000000298023224,0.0,0.5880293846130371,0.0,0.21719031035900116,1.0,0.7828096747398376,0.7896835803985596,0.5138436555862427,0.14928479459908117,0.14928479459908117,0.3537582921148135
5427,0.23588421940803528,0.5571090579032898,0.38814571499824524,0.18788956105709076,0.13161732256412506,0.1877257525920868,0.1877257525920868,0.1877257525920868,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5571090579032898,1.0,0.03338909521698952,0.0,0.9666109085083008,0.985870897769928,0.1877257525920868,0.11690514401321671,0.11690514401321671,0.3202402150747845
7131,0.29973170161247253,0.6538169980049133,0.5459182858467102,0.1785813868045807,0.1746954768896103,0.14264631271362305,0.14264631271362305,0.14264631271362305,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6538169980049133,1.0,0.9296889901161194,1.0,0.9296889901161194,0.9612252712249756,0.14264631271362305,0.14199100558211294,0.14199100558211294,0.3788009440342426
5035,0.5902073383331299,1.2671394348144531,0.2426702231168747,1.1622774600982666,0.36567431688308716,0.15222053229808807,0.15222053229808807,0.15222053229808807,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2671394348144531,1.0,0.9751163125038147,1.0,0.9751163125038147,0.9402799606323242,0.15222053229808807,0.32431068157430953,0.32431068157430953,0.7470673643645319
6277,0.27934202551841736,0.5561766028404236,0.36095577478408813,0.33800289034843445,0.13906735181808472,0.20960374176502228,0.20960374176502228,0.20960374176502228,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5561766028404236,1.0,0.9827509522438049,1.0,0.9827509522438049,0.9956974983215332,0.20960374176502228,0.600475392466666,0.5280110539314744,0.9995478389270785
817,0.4816710352897644,0.9277252554893494,0.5178706049919128,0.6763454079627991,0.25079694390296936,0.15983504056930542,0.15983504056930542,0.15983504056930542,1.0,1.0,1.0,1.0,1.0,0.6000000238418579,0.0,0.9131488800048828,1.0,0.10365404188632965,0.0,0.8963459730148315,0.8301032781600952,0.15983504056930542,0.34888036492379193,0.34888036492379193,0.5977074167336326
6773,0.32273587584495544,0.6235184669494629,0.3997149169445038,0.38603973388671875,0.18245302140712738,0.2135990709066391,0.2135990709066391,0.2135990709066391,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6235184669494629,1.0,0.042424414306879044,0.0,0.9575755596160889,0.992713987827301,0.2135990709066391,0.26083703008927195,0.26083703008927195,0.5170295638548572
1079,0.4634212851524353,0.8948603868484497,0.6407944560050964,0.5624035596847534,0.18706567585468292,0.1652146875858307,0.1652146875858307,0.1652146875858307,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8948603868484497,1.0,0.6156458258628845,1.0,0.6156458258628845,0.772788405418396,0.1652146875858307,0.2078167567425127,0.2078167567425127,0.5112180343786938
9712,0.3487536907196045,0.7997426390647888,0.7435174584388733,0.17481830716133118,0.12792526185512543,0.2406349927186966,0.2406349927186966,0.2406349927186966,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7997426390647888,1.0,0.024953510612249374,0.0,0.9750465154647827,0.9711815714836121,0.2406349927186966,0.14357384693666386,0.14357384693666386,0.3218750249947422
4192,0.37795397639274597,0.7284687161445618,0.453496515750885,0.32121703028678894,0.3591483235359192,0.15467770397663116,0.15467770397663116,0.15467770397663116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7284687161445618,1.0,0.08766420185565948,0.0,0.9123358130455017,0.8587287068367004,0.15467770397663116,0.30345844127234917,0.28226094201409874,0.5151183300077893
2697,0.315128356218338,0.715920090675354,0.22870047390460968,0.543152391910553,0.1735321283340454,0.10036212205886841,0.10036212205886841,0.10036212205886841,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.715920090675354,1.0,0.9358992576599121,1.0,0.9358992576599121,0.9874372482299805,0.10036212205886841,0.1678586115377886,0.1678586115377886,0.29387268034710196
