seed,protocol_fingerprint,model,fraction,sensor_count,selection,epoch,validation_loss,absolute_sign_accuracy,absolute_sign_set_accuracy,charge_mae,charge_magnitude_mae,global_invariant_charge_mae,global_sign_accuracy,global_sign_bce,mean_position_3d_error,mean_position_mae,observations_per_sample,observed_sample_fraction,pairwise_relative_sign_accuracy,position_mae_x,position_mae_y,position_mae_z,relative_configuration_accuracy,relative_sign_accuracy,source
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,g05_full_reconstruction,1.0,32,structure,35,0.6009179449081421,0.8800000076293946,0.836,0.289014705657959,0.1549491500854492,0.19488438606262207,0.866,0.3399958381652832,0.7555088500976562,0.37058311462402344,32.0,1.0,0.9458000183105468,0.4664375076293945,0.4214212532043457,0.22389054489135743,0.906,0.9579999923706055,Results\new_learning9_experiments\5point_routing_v1_seed41\runs\g05_full_reconstruction__g05_100pct__seed_41__acf3506459d6\result.json
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,g05_full_reconstruction,1.0,32,total,35,0.9492750208377838,0.8800000076293946,0.836,0.289014705657959,0.1549491500854492,0.19488438606262207,0.866,0.3399958381652832,0.7555088500976562,0.37058311462402344,32.0,1.0,0.9458000183105468,0.4664375076293945,0.4214212532043457,0.22389054489135743,0.906,0.9579999923706055,Results\new_learning9_experiments\5point_routing_v1_seed41\runs\g05_full_reconstruction__g05_100pct__seed_41__acf3506459d6\result.json
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,g05_sign_only,0.0,0,structure,37,0.5906645221710205,,,0.19086493301391602,0.15552479934692381,0.19086493301391602,,,0.7332394638061523,0.35994944763183595,0.0,0.0,0.9505999984741211,0.44510157012939455,0.41491066360473633,0.2198360366821289,0.915,0.9627999954223633,Results\new_learning9_experiments\5point_routing_v1_seed41\runs\g05_sign_only__g05_000pct__seed_41__f56e5ea3c50e\result.json
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,g05_sign_only,0.0,0,total,37,0.5906645221710205,,,0.19086493301391602,0.15552479934692381,0.19086493301391602,,,0.7332394638061523,0.35994944763183595,0.0,0.0,0.9505999984741211,0.44510157012939455,0.41491066360473633,0.2198360366821289,0.915,0.9627999954223633,Results\new_learning9_experiments\5point_routing_v1_seed41\runs\g05_sign_only__g05_000pct__seed_41__f56e5ea3c50e\result.json
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,g05_sign_only,0.1,3,structure,37,0.5906645221710205,0.8695999984741211,0.831,0.2983264942169189,0.15552479934692381,0.19086493301391602,0.85,0.3634685592651367,0.7332394638061523,0.35994944763183595,3.0,1.0,0.9505999984741211,0.44510157012939455,0.41491066360473633,0.2198360366821289,0.915,0.9627999954223633,Results\new_learning9_experiments\5point_routing_v1_seed41\runs\g05_sign_only__g05_010pct__seed_41__10a71341c43e\result.json
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,g05_sign_only,0.1,3,total,37,0.9627523696422577,0.8695999984741211,0.831,0.2983264942169189,0.15552479934692381,0.19086493301391602,0.85,0.3634685592651367,0.7332394638061523,0.35994944763183595,3.0,1.0,0.9505999984741211,0.44510157012939455,0.41491066360473633,0.2198360366821289,0.915,0.9627999954223633,Results\new_learning9_experiments\5point_routing_v1_seed41\runs\g05_sign_only__g05_010pct__seed_41__10a71341c43e\result.json
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,g05_sign_only,0.25,8,structure,37,0.5906645221710205,0.8867999954223633,0.847,0.2781946067810059,0.15552479934692381,0.19086493301391602,0.864,0.34991401290893553,0.7332394638061523,0.35994944763183595,8.0,1.0,0.9505999984741211,0.44510157012939455,0.41491066360473633,0.2198360366821289,0.915,0.9627999954223633,Results\new_learning9_experiments\5point_routing_v1_seed41\runs\g05_sign_only__g05_025pct__seed_41__662874c8682f\result.json
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,g05_sign_only,0.25,8,total,37,0.935638166666031,0.8867999954223633,0.847,0.2781946067810059,0.15552479934692381,0.19086493301391602,0.864,0.34991401290893553,0.7332394638061523,0.35994944763183595,8.0,1.0,0.9505999984741211,0.44510157012939455,0.41491066360473633,0.2198360366821289,0.915,0.9627999954223633,Results\new_learning9_experiments\5point_routing_v1_seed41\runs\g05_sign_only__g05_025pct__seed_41__662874c8682f\result.json
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,g05_sign_only,0.5,16,structure,37,0.5906645221710205,0.88,0.841,0.2870969715118408,0.15552479934692381,0.19086493301391602,0.862,0.3452809066772461,0.7332394638061523,0.35994944763183595,16.0,1.0,0.9505999984741211,0.44510157012939455,0.41491066360473633,0.2198360366821289,0.915,0.9627999954223633,Results\new_learning9_experiments\5point_routing_v1_seed41\runs\g05_sign_only__g05_050pct__seed_41__c565131aab8b\result.json
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,g05_sign_only,0.5,16,total,37,0.9398947253227234,0.88,0.841,0.2870969715118408,0.15552479934692381,0.19086493301391602,0.862,0.3452809066772461,0.7332394638061523,0.35994944763183595,16.0,1.0,0.9505999984741211,0.44510157012939455,0.41491066360473633,0.2198360366821289,0.915,0.9627999954223633,Results\new_learning9_experiments\5point_routing_v1_seed41\runs\g05_sign_only__g05_050pct__seed_41__c565131aab8b\result.json
