seed,protocol_fingerprint,fraction,sensor_count,selection,metric,sign_only,full,improvement,relative_improvement_percent
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.1,3,structure,relative_sign_accuracy,0.9627999954223633,0.9575999984741211,-0.005199996948242136,-0.5400910856839991
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.1,3,structure,relative_configuration_accuracy,0.915,0.909,-0.006000000000000005,-0.6557377049180333
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.1,3,structure,pairwise_relative_sign_accuracy,0.9505999984741211,0.9484000015258789,-0.0021999969482422443,-0.2314324586338758
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.1,3,structure,global_sign_accuracy,0.85,0.851,0.0010000000000000009,0.11764705882352952
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.1,3,structure,global_sign_bce,0.3634685592651367,0.3639967727661133,-0.0005282135009765931,-0.14532577509442327
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.1,3,structure,absolute_sign_accuracy,0.8695999984741211,0.8613999938964844,-0.0082000045776367,-0.9429628095705117
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.1,3,structure,absolute_sign_set_accuracy,0.831,0.818,-0.013000000000000012,-1.564380264741277
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.1,3,structure,charge_mae,0.2983264942169189,0.3086505813598633,-0.01032408714294436,-3.4606672029060612
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.1,3,structure,global_invariant_charge_mae,0.19086493301391602,0.19257705116271973,-0.001712118148803704,-0.8970312784899429
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.1,3,total,position_mae_x,0.44510157012939455,0.44955273056030276,-0.0044511604309082076,-1.000032516087108
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.1,3,total,position_mae_y,0.41491066360473633,0.41216368865966796,0.00274697494506837,0.6620641950251897
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.1,3,total,position_mae_z,0.2198360366821289,0.2227170238494873,-0.0028809871673584064,-1.3105163333726577
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,0.1,3,total,mean_position_mae,0.35994944763183595,0.36147782516479493,-0.00152837753295898,-0.42460893967595065
