test_example_index,mean_position_mae,mean_position_3d_error,position_mae_x,position_mae_y,position_mae_z,charge_magnitude_mae,charge_mae,global_invariant_charge_mae,relative_sign_accuracy,relative_configuration_accuracy,global_sign_accuracy,absolute_sign_accuracy,absolute_sign_set_accuracy,geometric_relative_sign_accuracy,geometric_relative_configuration_accuracy,geometric_mean_position_3d_error,relative_negative_count_accuracy,global_probability,global_target,global_confidence,relative_confidence,global_oracle_charge_mae,field_relative_l2,magnitude_field_relative_l2,g00_relative_l2
1629,0.29924556612968445,0.653918445110321,0.2179660052061081,0.5250639319419861,0.15470676124095917,0.08947008848190308,0.08947008848190308,0.08947008848190308,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.653918445110321,1.0,0.06552676111459732,0.0,0.9344732165336609,0.9978076815605164,0.08947008848190308,0.3518435803979526,0.34732731411429113,0.6897684518220678
6384,0.32583722472190857,0.7192499041557312,0.2503066062927246,0.5652586817741394,0.16194641590118408,0.1783422976732254,0.1783422976732254,0.1783422976732254,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7192499041557312,1.0,0.009691299870610237,0.0,0.9903087019920349,0.9963352680206299,0.1783422976732254,0.1751825857768693,0.16985840740400338,0.27542702526039287
9436,0.26466622948646545,0.5268378257751465,0.2594917416572571,0.30675631761550903,0.22775064408779144,0.21696968376636505,0.21696968376636505,0.21696968376636505,1.0,1.0,1.0,1.0,1.0,0.6000000238418579,0.0,0.5092231631278992,1.0,0.9714003205299377,1.0,0.9714003205299377,0.99689120054245,0.21696968376636505,0.2908285495394279,0.2686526889197542,0.4089659981674466
5028,0.31630921363830566,0.686356246471405,0.25502386689186096,0.48305055499076843,0.2108532190322876,0.11665699630975723,0.11665699630975723,0.11665699630975723,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.686356246471405,1.0,0.015312924049794674,0.0,0.984687089920044,0.9911269545555115,0.11665699630975723,0.12785519404072496,0.12785519404072496,0.2537252787844335
4722,0.294352650642395,0.5611822605133057,0.2830401360988617,0.42400017380714417,0.176017627120018,0.1792774349451065,0.1792774349451065,0.1792774349451065,1.0,1.0,1.0,1.0,1.0,0.6000000238418579,0.0,0.4833042621612549,1.0,0.7967914938926697,1.0,0.7967914938926697,0.5294106006622314,0.1792774349451065,0.10053670436525856,0.10053670436525856,0.18154536012662637
7930,0.4854019284248352,0.9942003488540649,0.7186123728752136,0.5247442722320557,0.21284905076026917,0.2909819483757019,0.2909819483757019,0.2909819483757019,1.0,1.0,1.0,1.0,1.0,0.6000000238418579,0.0,0.9430023431777954,1.0,0.01318425964564085,0.0,0.9868157505989075,0.817095160484314,0.2909819483757019,0.06665520029065329,0.06665520029065329,0.12333240380886856
2785,0.31503015756607056,0.6579144597053528,0.2924787402153015,0.40143153071403503,0.25118014216423035,0.08994679898023605,0.08994679898023605,0.08994679898023605,1.0,1.0,1.0,1.0,1.0,0.6000000238418579,0.0,0.5236906409263611,1.0,0.02011810429394245,0.0,0.9798818826675415,0.9638177752494812,0.08994679898023605,0.3396006380407066,0.3396006380407066,1.863793103865376
5523,0.38228514790534973,0.7767273187637329,0.5042592883110046,0.486537367105484,0.15605878829956055,0.17268483340740204,0.17268483340740204,0.17268483340740204,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7767273187637329,1.0,0.5001763105392456,1.0,0.5001763105392456,0.9997274279594421,0.17268483340740204,0.8908398163772844,0.6214416033431076,0.8114247290532616
1488,0.31182214617729187,0.6553390622138977,0.19803567230701447,0.4019690454006195,0.3354617655277252,0.1361551731824875,0.1361551731824875,0.1361551731824875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6553390622138977,1.0,0.013689753599464893,0.0,0.9863102436065674,0.9958301186561584,0.1361551731824875,0.4657488647623318,0.4657488647623318,2.7802383835916946
8763,0.2697833478450775,0.5691170692443848,0.3176928460597992,0.17238588631153107,0.3192713260650635,0.14358428120613098,0.14358428120613098,0.14358428120613098,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5691170692443848,1.0,0.9504364132881165,1.0,0.9504364132881165,0.9996762275695801,0.14358428120613098,0.5605162336209308,0.5427347568207194,0.8431089153068555
