run_id,patience,stop_epoch,both_best_checkpoints_preserved,epochs_saved
g05_sign_only__g05_100pct__seed_43__7eca43faabbb,15,46,True,254
g05_full_reconstruction__g05_000pct__seed_41__8ea078f3c543,20,57,True,243
g05_full_reconstruction__g05_010pct__seed_41__3a047e27a893,20,57,True,243
g05_full_reconstruction__g05_025pct__seed_41__6b8f65cff0c4,20,57,True,243
g05_full_reconstruction__g05_050pct__seed_41__2e76912911c3,20,55,True,245
g05_full_reconstruction__g05_075pct__seed_41__1880b8d860fe,20,54,True,246
g05_full_reconstruction__g05_100pct__seed_41__acf3506459d6,20,55,True,245
g05_sign_only__g05_000pct__seed_41__f56e5ea3c50e,20,57,True,243
g05_sign_only__g05_010pct__seed_41__10a71341c43e,20,57,True,243
g05_sign_only__g05_025pct__seed_41__662874c8682f,20,57,True,243
g05_sign_only__g05_050pct__seed_41__c565131aab8b,20,57,True,243
g05_sign_only__g05_075pct__seed_41__d55cbe85d9a9,20,57,True,243
g05_sign_only__g05_100pct__seed_41__47b3174b2f65,20,57,True,243
g05_full_reconstruction__g05_000pct__seed_42__7d8ae61c4605,20,47,True,253
g05_full_reconstruction__g05_010pct__seed_42__7d4653f145ab,20,48,True,252
g05_full_reconstruction__g05_025pct__seed_42__1ba41dbd95be,20,68,True,232
g05_full_reconstruction__g05_050pct__seed_42__8c9fbcc55de0,20,62,True,238
g05_full_reconstruction__g05_075pct__seed_42__ea2fff605788,20,55,True,245
g05_full_reconstruction__g05_100pct__seed_42__e2a69d923385,20,60,True,240
g05_sign_only__g05_000pct__seed_42__7381148c39db,20,47,True,253
g05_sign_only__g05_010pct__seed_42__c436f6048f89,20,47,True,253
g05_sign_only__g05_025pct__seed_42__6b6220edd43e,20,59,True,241
g05_sign_only__g05_050pct__seed_42__3e78c74bbf35,20,59,True,241
g05_sign_only__g05_075pct__seed_42__4f060fadcb77,20,59,True,241
g05_sign_only__g05_100pct__seed_42__adefc6a18cb3,20,59,True,241
g05_full_reconstruction__g05_000pct__seed_43__5677a97adc2f,20,51,True,249
g05_full_reconstruction__g05_010pct__seed_43__b4e053f4082b,20,49,True,251
g05_full_reconstruction__g05_025pct__seed_43__fe84a1df815e,20,53,True,247
g05_full_reconstruction__g05_050pct__seed_43__fa2e48ef7502,20,61,True,239
g05_full_reconstruction__g05_075pct__seed_43__d87f793ac782,20,56,True,244
g05_full_reconstruction__g05_100pct__seed_43__dbf9e42ecafa,20,46,True,254
g05_sign_only__g05_000pct__seed_43__e70a7bddfd5e,20,51,True,249
g05_sign_only__g05_010pct__seed_43__569719e6de6c,20,51,True,249
g05_sign_only__g05_025pct__seed_43__559b9cd8371e,20,51,True,249
g05_sign_only__g05_050pct__seed_43__9763f0d66175,20,51,True,249
g05_sign_only__g05_075pct__seed_43__b85b94b83477,20,51,True,249
g05_sign_only__g05_100pct__seed_43__7eca43faabbb,20,51,True,249
g05_full_reconstruction__g05_000pct__seed_41__8ea078f3c543,30,67,True,233
g05_full_reconstruction__g05_010pct__seed_41__3a047e27a893,30,67,True,233
g05_full_reconstruction__g05_025pct__seed_41__6b8f65cff0c4,30,67,True,233
g05_full_reconstruction__g05_050pct__seed_41__2e76912911c3,30,65,True,235
g05_full_reconstruction__g05_075pct__seed_41__1880b8d860fe,30,64,True,236
g05_full_reconstruction__g05_100pct__seed_41__acf3506459d6,30,65,True,235
g05_sign_only__g05_000pct__seed_41__f56e5ea3c50e,30,67,True,233
g05_sign_only__g05_010pct__seed_41__10a71341c43e,30,67,True,233
g05_sign_only__g05_025pct__seed_41__662874c8682f,30,67,True,233
g05_sign_only__g05_050pct__seed_41__c565131aab8b,30,67,True,233
g05_sign_only__g05_075pct__seed_41__d55cbe85d9a9,30,67,True,233
g05_sign_only__g05_100pct__seed_41__47b3174b2f65,30,67,True,233
g05_full_reconstruction__g05_000pct__seed_42__7d8ae61c4605,30,57,True,243
g05_full_reconstruction__g05_010pct__seed_42__7d4653f145ab,30,58,True,242
g05_full_reconstruction__g05_025pct__seed_42__1ba41dbd95be,30,78,True,222
g05_full_reconstruction__g05_050pct__seed_42__8c9fbcc55de0,30,72,True,228
g05_full_reconstruction__g05_075pct__seed_42__ea2fff605788,30,65,True,235
g05_full_reconstruction__g05_100pct__seed_42__e2a69d923385,30,70,True,230
g05_sign_only__g05_000pct__seed_42__7381148c39db,30,57,True,243
g05_sign_only__g05_010pct__seed_42__c436f6048f89,30,57,True,243
g05_sign_only__g05_025pct__seed_42__6b6220edd43e,30,69,True,231
g05_sign_only__g05_050pct__seed_42__3e78c74bbf35,30,69,True,231
g05_sign_only__g05_075pct__seed_42__4f060fadcb77,30,69,True,231
g05_sign_only__g05_100pct__seed_42__adefc6a18cb3,30,69,True,231
g05_full_reconstruction__g05_000pct__seed_43__5677a97adc2f,30,61,True,239
g05_full_reconstruction__g05_010pct__seed_43__b4e053f4082b,30,59,True,241
g05_full_reconstruction__g05_025pct__seed_43__fe84a1df815e,30,63,True,237
g05_full_reconstruction__g05_050pct__seed_43__fa2e48ef7502,30,71,True,229
g05_full_reconstruction__g05_075pct__seed_43__d87f793ac782,30,66,True,234
g05_full_reconstruction__g05_100pct__seed_43__dbf9e42ecafa,30,56,True,244
g05_sign_only__g05_000pct__seed_43__e70a7bddfd5e,30,61,True,239
g05_sign_only__g05_010pct__seed_43__569719e6de6c,30,61,True,239
g05_sign_only__g05_025pct__seed_43__559b9cd8371e,30,61,True,239
g05_sign_only__g05_050pct__seed_43__9763f0d66175,30,61,True,239
g05_sign_only__g05_075pct__seed_43__b85b94b83477,30,61,True,239
g05_sign_only__g05_100pct__seed_43__7eca43faabbb,30,61,True,239
