protocol_fingerprint,checkpoint_selection,selection_objective,model_a,model_b,g05_fraction,g05_count_per_sample,metric,metric_role,global_sign_in_selection_objective,global_sign_metrics_note,improvement_definition,paired_seed_count,paired_seeds,delta_mean,delta_std,improvement_mean,improvement_std
27eeeaa89d739d150417e05407607bf3d367f9affa302e8be822737fc6047e45,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.1,3,global_sign_bce,secondary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,43,0.002636646270751941,,-0.002636646270751941,
27eeeaa89d739d150417e05407607bf3d367f9affa302e8be822737fc6047e45,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.1,3,mean_position_3d_error,primary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,43,-0.0013079299926758159,,0.0013079299926758159,
27eeeaa89d739d150417e05407607bf3d367f9affa302e8be822737fc6047e45,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.1,3,mean_position_mae,primary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,43,-0.00023892974853517712,,0.00023892974853517712,
27eeeaa89d739d150417e05407607bf3d367f9affa302e8be822737fc6047e45,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.1,3,pairwise_relative_sign_accuracy,primary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,43,0.004799995422363312,,0.004799995422363312,
27eeeaa89d739d150417e05407607bf3d367f9affa302e8be822737fc6047e45,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.1,3,position_mae_x,primary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,43,0.009871299743652362,,-0.009871299743652362,
27eeeaa89d739d150417e05407607bf3d367f9affa302e8be822737fc6047e45,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.1,3,position_mae_y,primary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,43,-0.01518299484252933,,0.01518299484252933,
27eeeaa89d739d150417e05407607bf3d367f9affa302e8be822737fc6047e45,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.1,3,position_mae_z,primary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,43,0.004594882965087893,,-0.004594882965087893,
27eeeaa89d739d150417e05407607bf3d367f9affa302e8be822737fc6047e45,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.1,3,relative_configuration_accuracy,primary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,43,0.008000000000000007,,0.008000000000000007,
27eeeaa89d739d150417e05407607bf3d367f9affa302e8be822737fc6047e45,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.1,3,relative_sign_accuracy,primary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,43,0.0031999893188476847,,0.0031999893188476847,
27eeeaa89d739d150417e05407607bf3d367f9affa302e8be822737fc6047e45,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.25,8,absolute_sign_accuracy,secondary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,43,0.004800003051757762,,0.004800003051757762,
