epoch,train_total,train_structure,train_position,train_magnitude,train_relative_sign,train_global_sign,validation_total,validation_structure,validation_position,validation_magnitude,validation_relative_sign,validation_global_sign
1,1.8348194136619567,1.148268078804016,0.7983736200332642,0.09666324728727341,0.25323121857643127,0.6865513348579406,1.6388084917068482,0.9626479058265686,0.757130338191986,0.0850889897942543,0.12042857605218887,0.6761605858802795
2,1.5415343465805054,0.9003106727600098,0.7264205207824707,0.08475555104017257,0.08913460344076157,0.6412236738204956,1.444053855895996,0.8503621659278869,0.6892103428840637,0.08107403630018234,0.08007778289914132,0.5936916899681092
3,1.3672448072433472,0.8403524131774902,0.6808351635932922,0.08222230142354965,0.07729495149850846,0.526892394065857,1.2877790880203248,0.8087821269035339,0.6545441279411316,0.08054782348871231,0.07369016689062119,0.4789969611167908
4,1.222806263923645,0.7967545819282532,0.6481745147705078,0.08057803696393967,0.0680020290017128,0.42605168199539184,1.1814322869777678,0.7682036290168762,0.6214856858253479,0.07903193670511245,0.06768600395321846,0.4132286579608917
5,1.1480258049964904,0.7640707311630249,0.6199999742507935,0.07940908998250962,0.06466166439652443,0.38395507383346555,1.159335661649704,0.7647471451759338,0.6098780536651611,0.0790818440914154,0.07578723913431168,0.39458851647377013
6,1.1059892702102663,0.7394076614379883,0.5993305253982544,0.07883970719575882,0.06123742806911468,0.36658160877227786,1.1165026423931121,0.7274674134254455,0.5863015203475952,0.0779990147948265,0.06316687667369843,0.3890352289676666
7,1.0783005485534667,0.7208046913146973,0.5817063574790955,0.07830336934328079,0.060794968247413636,0.35749585723876953,1.0896493842601775,0.7095172109603882,0.5704676375389099,0.07721562612056732,0.06183394968509674,0.38013217329978943
8,1.0555309629440308,0.7042952537536621,0.5683958539962769,0.0780151771903038,0.05788422662019729,0.3512357091903687,1.0738906214237214,0.6962473983764649,0.5546708283424377,0.07721471738815308,0.06436184325814247,0.37764322304725645
9,1.0380762045383451,0.6915355815887451,0.5567734003067016,0.07784443014860153,0.05691775104403496,0.3465406229496002,1.06381187748909,0.6820253620147705,0.5451019864082336,0.07605304157733918,0.06087034049630165,0.38178651547431947
10,1.0225978920459746,0.6802799639701843,0.5478935358524323,0.07723113071918487,0.05515530315041542,0.3423179280757904,1.0468412878513336,0.6757757940292358,0.5348766570091248,0.07642639112472534,0.06447275561094284,0.3710654938220978
11,1.0116665415763855,0.6695674476623535,0.536322995185852,0.07710498923063278,0.05613946610689163,0.342099093914032,1.0470857360363006,0.6783528423309326,0.5392666997909545,0.07606521505117417,0.06302093213796615,0.36873289370536805
12,0.9968299593925476,0.6587764921188355,0.5290126404762268,0.0768489886522293,0.0529148642718792,0.33805346727371216,1.0429095261096955,0.6750054707527161,0.5320731749534607,0.0765634833574295,0.06636880376935005,0.36790405535697934
13,0.9830091390609741,0.6492314858436584,0.5205032472610474,0.0763284467458725,0.05239979508519173,0.3337776532173157,1.0179539952278138,0.6470608172416688,0.5120005116462708,0.07545844829082489,0.0596018568277359,0.370893177986145
14,0.9733871283531189,0.6415017938613892,0.5128729968070984,0.07632219862937928,0.052306597530841825,0.33188533449172974,1.0163471798896788,0.6468218097686768,0.5080823130607605,0.07633527809381485,0.06240420949459076,0.3695253701210022
15,0.9715852530002593,0.640594057559967,0.5104611988067627,0.07628543591499329,0.053847421765327454,0.3309911954402924,1.0099619824886321,0.6477976169586181,0.5125416102409363,0.07625201696157455,0.05900398489832878,0.362164365530014
16,0.9549491505622864,0.6274571919441223,0.5012281460762024,0.0758439074754715,0.050385136306285855,0.32749195861816405,0.9958096904754639,0.6347403492927551,0.4995480227470398,0.07562194830179214,0.059570374220609665,0.3610693411827087
17,0.9408109529018402,0.6176937050819397,0.49205925726890565,0.07534852975606918,0.0502859194278717,0.32311724781990053,1.0032679901123047,0.6269749960899353,0.49317761373519897,0.07543351703882217,0.058363875806331636,0.3762929940223694
18,0.9390177626609802,0.6093647480010986,0.4865437548160553,0.07543642204999924,0.04738457009196281,0.3296530146598816,0.9866222295761109,0.626652536392212,0.4903428149223328,0.07603748953342437,0.0602722407579422,0.35996969318389893
19,0.9305671966075897,0.6070297703742981,0.48325189423561093,0.07524788695573807,0.04852999222278595,0.3235374262332916,0.982690895795822,0.6218660430908203,0.4886776261329651,0.0768361086845398,0.056352304369211195,0.3608248527050018
20,0.9172459120750427,0.5969401631355286,0.47576394605636596,0.07516976016759873,0.04600646099448204,0.32030574893951413,0.9742148690223693,0.6170724778175354,0.48103618335723874,0.07544573694467545,0.06059054535627365,0.357142391204834
21,0.9165472261905669,0.5960516028404236,0.47495443320274355,0.0750589820742607,0.0460381905734539,0.3204956233501434,0.9780162124633789,0.6110525217056274,0.4785772790908813,0.0751571456193924,0.05731809887290001,0.3669636907577515
22,0.910785129070282,0.5888532319068909,0.4681913456916809,0.07501538443565368,0.04564650040864945,0.3219318971633911,0.965802915096283,0.6079236669540405,0.47389042043685914,0.0758837753534317,0.05814945438504219,0.3578792481422424
23,0.8984899966716766,0.5786901779174805,0.4613095965385437,0.0745594881772995,0.04282109045982361,0.31979981875419616,0.9652090940475464,0.609285382270813,0.4710092468261719,0.07463871562480927,0.06363741302490235,0.3559237117767334
24,0.8915268578529358,0.5748144111633301,0.45717808175086977,0.07457153701782226,0.043064794927835465,0.3167124466896057,0.9552702190876008,0.6025382051467896,0.470416832447052,0.0750020854473114,0.05711928614974022,0.35273201394081116
25,0.8875770807266236,0.5716485300064087,0.45463086366653443,0.07406390374898911,0.04295376151800156,0.31592855072021486,0.9568508541584015,0.6035375671386719,0.4679765655994415,0.07461338955163956,0.06094761124253273,0.35331328701972964
26,0.8765127489566804,0.5625175619125367,0.44723632097244265,0.07377094441652297,0.04151029461622238,0.3139951870441437,0.9494343185424805,0.5966645050048828,0.4621300446987152,0.07502284824848175,0.059511616319417954,0.3527698135375977
27,0.8768356442451477,0.5620732445716858,0.446822128534317,0.07413633674383163,0.041114782482385634,0.3147623996734619,0.9584038302898408,0.5994677510261536,0.46772221636772154,0.07524544095993042,0.056500111818313596,0.35893607926368715
28,0.8647503433227539,0.5521304006576538,0.44015185356140135,0.07355936962366104,0.038419173046946524,0.31261994266510007,0.9711900775432587,0.6091185798645019,0.465257125377655,0.07436753493547439,0.06949392372369766,0.36207149767875674
29,0.861872453212738,0.5508343262672424,0.4374167113304138,0.073340482711792,0.04007712845504284,0.3110381269454956,0.9512740845680236,0.5997422332763672,0.46278371644020083,0.07500231236219407,0.06195620846748352,0.3515318512916565
30,0.8588343365192413,0.5450942964553833,0.43343473720550535,0.07327355223894119,0.03838600379228592,0.31374004006385803,0.9513383343219757,0.5982834539413452,0.462954886674881,0.07490557891130448,0.06042299449443817,0.3530548803806305
31,0.8494626247882843,0.5382253808975219,0.4292495701313019,0.0730455225110054,0.0359302884042263,0.31123724389076235,0.9472211327552795,0.5965734252929688,0.4615851709842682,0.07491755282878876,0.06007070690393448,0.3506477074623108
32,0.8413432288169861,0.5323231158256531,0.4240742518901825,0.07250231015682221,0.03574655812978744,0.30902011299133303,0.9428884630203247,0.5888932118415833,0.45351297211647035,0.0747287231683731,0.06065153837203979,0.3539952511787415
33,0.8427834024429322,0.5307173411846161,0.4222993161678314,0.07269963932037353,0.03571838770806789,0.31206606125831604,0.9461819722652436,0.5948692650794983,0.45999672293663024,0.07457938975095749,0.06029315513372421,0.35131270718574525
34,0.8382121715545654,0.5270946979522705,0.4198830654621124,0.07258360666036606,0.03462802267074585,0.3111174736022949,0.9485330028533936,0.5951114120483398,0.4574098529815674,0.07459558045864105,0.06310597121715546,0.3534215908050537
35,0.8318718526363373,0.5182546813488007,0.41393741869926454,0.07219947946071625,0.03211778013408184,0.31361717128753663,0.9445064940452577,0.5938600487709046,0.4554274477958679,0.07436729162931442,0.06406531476974488,0.350646445274353
36,0.8258537049293518,0.5180556125640869,0.41349919939041135,0.07196859121322632,0.032587820768356326,0.3077980923652649,0.9363293478488921,0.5852741961479186,0.4523831264972687,0.07460434865951539,0.058286721289157864,0.3510551517009735
37,0.8232011694908141,0.5141010947227478,0.4096776990890503,0.07226371783018112,0.0321596799492836,0.3091000747680664,0.952009747505188,0.6027372469902038,0.46294431495666505,0.07600536090135575,0.06378756961226463,0.34927250051498415
38,0.8225936808586121,0.5136333494186401,0.4088742640018463,0.07205231183767319,0.032706774026155475,0.3089603314399719,0.9600501890182496,0.593981638431549,0.4546478033065796,0.07446092414855957,0.06487290480732918,0.36606855058670046
