seed,g05_fraction,g05_count,position_mae_x,position_mae_y,position_mae_z,mean_position_mae,mean_position_3d_error,charge_magnitude_mae,relative_sign_accuracy,relative_configuration_accuracy,pairwise_relative_sign_accuracy,charge_mae,global_invariant_charge_mae,global_sign_accuracy,global_sign_bce,absolute_sign_accuracy,absolute_sign_set_accuracy,observed_sample_fraction,observations_per_sample,best_structure_loss,best_structure_epoch,best_global_sign_loss,best_global_sign_epoch,checkpoint_path
41,0.0,0,0.4467733345031738,0.41532281494140627,0.22207925033569337,0.36139181900024414,0.7374743576049805,0.15709271430969238,0.9603999862670899,0.912,0.9493999862670899,0.1936996307373047,0.1936996307373047,,,,,0.0,0.0,0.5996894488334655,32,,,C:\Users\COM\Documents\KK-AI\Models\new_learning9\run_20260828_130811_673736295af0\seed_41_g05_0p0\composed.pt
41,0.1,3,0.4467733345031738,0.41532281494140627,0.22207925033569337,0.36139181900024414,0.7374743576049805,0.15709271430969238,0.9603999862670899,0.912,0.9493999862670899,0.31478701400756837,0.1936996307373047,0.848,0.36116485595703124,0.8604000015258789,0.819,1.0,3.0,0.5996894488334655,32,0.36589983439445495,257,C:\Users\COM\Documents\KK-AI\Models\new_learning9\run_20260828_130811_673736295af0\seed_41_g05_0p1\composed.pt
41,0.25,8,0.4467733345031738,0.41532281494140627,0.22207925033569337,0.36139181900024414,0.7374743576049805,0.15709271430969238,0.9603999862670899,0.912,0.9493999862670899,0.2883612079620361,0.1936996307373047,0.865,0.34001052474975585,0.8822000045776367,0.841,1.0,8.0,0.5996894488334655,32,0.32862126946449277,239,C:\Users\COM\Documents\KK-AI\Models\new_learning9\run_20260828_130811_673736295af0\seed_41_g05_0p25\composed.pt
41,0.5,16,0.4467733345031738,0.41532281494140627,0.22207925033569337,0.36139181900024414,0.7374743576049805,0.15709271430969238,0.9603999862670899,0.912,0.9493999862670899,0.2844460716247559,0.1936996307373047,0.868,0.34049124908447265,0.8852000122070313,0.844,1.0,16.0,0.5996894488334655,32,0.3338917641639709,194,C:\Users\COM\Documents\KK-AI\Models\new_learning9\run_20260828_130811_673736295af0\seed_41_g05_0p5\composed.pt
41,0.75,24,0.4467733345031738,0.41532281494140627,0.22207925033569337,0.36139181900024414,0.7374743576049805,0.15709271430969238,0.9603999862670899,0.912,0.9493999862670899,0.2889731330871582,0.1936996307373047,0.859,0.3418103485107422,0.8810000076293946,0.84,1.0,24.0,0.5996894488334655,32,0.3295295934677124,253,C:\Users\COM\Documents\KK-AI\Models\new_learning9\run_20260828_130811_673736295af0\seed_41_g05_0p75\composed.pt
41,1.0,32,0.4467733345031738,0.41532281494140627,0.22207925033569337,0.36139181900024414,0.7374743576049805,0.15709271430969238,0.9603999862670899,0.912,0.9493999862670899,0.28955789375305174,0.1936996307373047,0.862,0.33500267028808595,0.8808000030517578,0.839,1.0,32.0,0.5996894488334655,32,0.3309286277294159,245,C:\Users\COM\Documents\KK-AI\Models\new_learning9\run_20260828_130811_673736295af0\seed_41_g05_1p0\composed.pt
