epoch,train_total,train_structure,train_position,train_magnitude,train_relative_sign,train_global_sign,validation_total,validation_structure,validation_position,validation_magnitude,validation_relative_sign,validation_global_sign
1,1.8077284188270568,1.1196163239479064,0.7853628344535828,0.09415245991945266,0.24010102200508118,0.6881120948791504,1.616092673778534,0.9352571067810058,0.7470850486755372,0.08430243754386901,0.10386961477994919,0.6808355669975281
2,1.545135540008545,0.8874296464920044,0.7155576858520508,0.08425740170478821,0.0876145607829094,0.6577058935165405,1.4751212368011473,0.8507707271575927,0.6911678762435913,0.08057183527946472,0.07903102707862854,0.6243505096435547
3,1.3901644513607025,0.8277352647781372,0.6706025290489197,0.08168440079689025,0.07544833487272262,0.5624291865825654,1.3141811494827271,0.7981384315490723,0.6480754532814026,0.07927998274564743,0.07078298410773277,0.5160427179336547
4,1.216932445526123,0.7723916249275208,0.6294695677757263,0.07908059370517731,0.06384146738052368,0.4445408205986023,1.1749900071620942,0.7475992035865784,0.6047922959327697,0.07751963728666306,0.06528726348280907,0.42739080357551573
5,1.1263575830459596,0.742325138092041,0.6014621634483337,0.07847859138250352,0.06238438329100609,0.3840324449539185,1.1300682284832,0.7298043804168701,0.587317331790924,0.07747986203432083,0.06500718551874161,0.40026384806633
6,1.0774808378219605,0.7165232772827148,0.5810752048492431,0.07773755067586899,0.05771052625775337,0.3609575605392456,1.1052151300907136,0.7150268001556397,0.576052740573883,0.07780586510896682,0.06116819405555725,0.39018832993507385
7,1.0501192893981934,0.7003885278701782,0.5647017798423767,0.07772876501083374,0.05795798563957214,0.34973076152801513,1.0834823129177094,0.6998713531494141,0.5597444853782654,0.07680035471916198,0.06332651591300964,0.3836109597682953
8,1.029087359905243,0.6842598023414612,0.5502706379890442,0.0769512055516243,0.05703796103596687,0.34482755756378175,1.05628475522995,0.6769821753501892,0.5384564237594605,0.07697102797031402,0.061554720401763914,0.37930257987976074
9,1.0097805674076081,0.6710217757225037,0.5371549673080445,0.07673712021112442,0.05712968841195107,0.33875879168510437,1.050413209915161,0.6639872279167175,0.5298986325263977,0.07603733611106872,0.0580512627363205,0.3864259819984436
10,0.9921705853939056,0.6564340481758117,0.5280698997974396,0.07579674512147903,0.05256740179657936,0.3357365372180939,1.0250120112895966,0.6496901392936707,0.5170337128639221,0.07600401878356934,0.05665240532159805,0.3753218719959259
11,0.9805443904399871,0.6447744841575622,0.5151909065246582,0.07585809797048569,0.05372547873854637,0.3357699062824249,1.028511846780777,0.6562953639030457,0.5221225070953369,0.07573429417610168,0.05843857774138451,0.37221648287773135
12,0.968196917295456,0.635739366054535,0.5092430248260498,0.07547572511434555,0.051020621299743656,0.332457551240921,1.019952769756317,0.6498230571746826,0.5120412077903748,0.07578547698259354,0.06199638137221336,0.3701297125816345
13,0.9522840511798859,0.6242667207717896,0.4989054846763611,0.07492810875177383,0.05043313255906105,0.32801733040809633,1.0017561781406403,0.6290682287216186,0.49698862743377686,0.07506903213262558,0.05701056879758835,0.3726879494190216
14,0.941353262424469,0.615640175819397,0.49056807947158815,0.07469804000854492,0.050374056816101076,0.32571308660507203,1.0071005976200103,0.6360396909713745,0.4980499892234802,0.0761769255399704,0.06181277233362198,0.3710609066486359
15,0.9353575520515442,0.6105489439964294,0.4864225392341614,0.07457072168588638,0.0495556832253933,0.32480860805511474,1.003480049610138,0.6392159986495972,0.5077151474952698,0.07490955668687821,0.05659129336476326,0.36426405096054076
16,0.9284539711475372,0.6056542639732361,0.48282867288589476,0.0740239410996437,0.04880165606737137,0.3227997071743011,0.9873512744903565,0.625746518611908,0.492186830997467,0.0743975932598114,0.05916211012005806,0.3616047558784485
17,0.9167308061122894,0.5978838367462158,0.47604652237892153,0.07358468168973922,0.04825263470411301,0.3188469693660736,0.982736953496933,0.6070334868431091,0.47836937999725343,0.07403736853599549,0.05462674170732498,0.37570346665382387
18,0.9150134444236755,0.5902747707366943,0.47013129019737243,0.07363288325071335,0.046510595738887786,0.3247386736869812,0.9731598289012908,0.6155783019065857,0.4835813856124878,0.07362684136629105,0.05837007722258568,0.3575815269947052
19,0.9011413660049439,0.5817344756126404,0.4628493876457214,0.07306989616155625,0.045815196543931964,0.31940689039230347,0.969733704328537,0.6101191310882569,0.4802515549659729,0.07417584133148193,0.05569173339009285,0.3596145732402802
20,0.8926103808879853,0.5766769690513611,0.45746993947029113,0.07291640800237656,0.046290622919797894,0.31593341183662416,0.9704913442134857,0.6143294053077698,0.48059964609146116,0.07345368653535843,0.06027606934309006,0.35616193890571596
21,0.8863480536937713,0.570492690563202,0.4525263767242432,0.07257524204254151,0.04539107412099838,0.31585536313056944,0.9569555227756501,0.5932597613334656,0.4651955180168152,0.07352494639158248,0.05453930136561394,0.36369576144218446
22,0.8825152308940888,0.5635532698631287,0.44696822500228883,0.07269430476427079,0.04389073649048805,0.3189619610309601,0.955038367509842,0.5994724302291871,0.4662622048854828,0.07362507671117782,0.05958514800667763,0.3555659372806549
23,0.8750092670917511,0.558370035648346,0.44331549167633055,0.07221846431493759,0.042836089044809345,0.31663923144340517,0.9577894051074982,0.6032786717414856,0.46851133298873904,0.07337813508510589,0.06138920825719833,0.3545107333660126
24,0.8671703052520752,0.5536372275352478,0.4392590925693512,0.07206072515249252,0.042317410469055176,0.31353307771682737,0.9370182254314423,0.5872083888053894,0.45822980284690856,0.07366627752780915,0.05531229907274246,0.34980983662605286
25,0.8578816845417023,0.5450744276046753,0.43250869584083557,0.071290756046772,0.04127497696876526,0.312807256937027,0.9399488346576691,0.5868265542984009,0.4566693756580353,0.07267487901449203,0.057482293009758,0.3531222803592682
26,0.8491818444728851,0.5382386293411255,0.4270592858791351,0.07091409611701965,0.040265247672796246,0.31094321513175965,0.9372164237499236,0.585860339641571,0.45755079889297484,0.07297070598602295,0.055338833779096604,0.3513560841083527
27,0.8479177279472352,0.5368186860084534,0.4263373010158539,0.07086704003810883,0.039614344328641894,0.31109904193878174,0.9399935557842255,0.5840940232276917,0.4569155440330505,0.07278832179307938,0.05439016458392143,0.35589953255653384
