protocol_fingerprint,checkpoint_selection,model,g05_fraction,g05_count_per_sample,run_count,seeds,selected_epochs_by_seed,selected_validation_losses_by_seed,run_fingerprints_by_seed,global_sign_in_selection_objective,global_sign_metrics_note,position_mae_x_count,position_mae_x_mean,position_mae_x_std,position_mae_y_count,position_mae_y_mean,position_mae_y_std,position_mae_z_count,position_mae_z_mean,position_mae_z_std,mean_position_mae_count,mean_position_mae_mean,mean_position_mae_std,mean_position_3d_error_count,mean_position_3d_error_mean,mean_position_3d_error_std,charge_magnitude_mae_count,charge_magnitude_mae_mean,charge_magnitude_mae_std,relative_sign_accuracy_count,relative_sign_accuracy_mean,relative_sign_accuracy_std,relative_configuration_accuracy_count,relative_configuration_accuracy_mean,relative_configuration_accuracy_std,pairwise_relative_sign_accuracy_count,pairwise_relative_sign_accuracy_mean,pairwise_relative_sign_accuracy_std,global_sign_accuracy_count,global_sign_accuracy_mean,global_sign_accuracy_std,global_sign_bce_count,global_sign_bce_mean,global_sign_bce_std,absolute_sign_accuracy_count,absolute_sign_accuracy_mean,absolute_sign_accuracy_std,absolute_sign_set_accuracy_count,absolute_sign_set_accuracy_mean,absolute_sign_set_accuracy_std,charge_mae_count,charge_mae_mean,charge_mae_std,global_invariant_charge_mae_count,global_invariant_charge_mae_mean,global_invariant_charge_mae_std
e9b0d8af58d4c2952687896959fd025c764afa044ce12a0a240a283e4fd284e6,structure,g05_sign_only,0.75,24,1,43,"{""43"":31}","{""43"":0.5999058632850647}","{""43"":""b85b94b8347725cb5895da3e300cfc7c2f9fe4af210aeaa98f6c46ded67c0095""}",False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,1,0.4418797950744629,,1,0.45999319076538087,,1,0.22261006546020506,,1,0.3748277015686035,,1,0.7661625061035157,,1,0.15873043632507325,,1,0.9596000137329102,,1,0.909,,1,0.9473999938964843,,1,0.879,,1,0.3342213249206543,,1,0.893,,1,0.85,,1,0.2761736145019531,,1,0.19724883460998535,
e9b0d8af58d4c2952687896959fd025c764afa044ce12a0a240a283e4fd284e6,structure,g05_sign_only,1.0,32,1,43,"{""43"":31}","{""43"":0.5999058632850647}","{""43"":""7eca43faabbb4b6dee73a6c886f13284a95c8915a6019615f0b0c0c6bd492196""}",False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,1,0.4418797950744629,,1,0.45999319076538087,,1,0.22261006546020506,,1,0.3748277015686035,,1,0.7661625061035157,,1,0.15873043632507325,,1,0.9596000137329102,,1,0.909,,1,0.9473999938964843,,1,0.871,,1,0.332178279876709,,1,0.8866000061035156,,1,0.843,,1,0.2836688289642334,,1,0.19724883460998535,
e9b0d8af58d4c2952687896959fd025c764afa044ce12a0a240a283e4fd284e6,total,g05_full_reconstruction,0.0,0,1,43,"{""43"":31}","{""43"":0.5999058632850647}","{""43"":""5677a97adc2fd5fbf9112be98b6bbbf723da880453e018358e179cc3f29a8a2e""}",False,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,1,0.4418797950744629,,1,0.45999319076538087,,1,0.22261006546020506,,1,0.3748277015686035,,1,0.7661625061035157,,1,0.15873043632507325,,1,0.9596000137329102,,1,0.909,,1,0.9473999938964843,,0,,,0,,,0,,,0,,,1,0.19724883460998535,,1,0.19724883460998535,
e9b0d8af58d4c2952687896959fd025c764afa044ce12a0a240a283e4fd284e6,total,g05_full_reconstruction,0.1,3,1,43,"{""43"":29}","{""43"":0.9713646416664123}","{""43"":""b4e053f4082b1f718e822a6ad74bec710a25a4f29a980175e5ab94bc3ceb1c8c""}",True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,1,0.44332362365722655,,1,0.4461059989929199,,1,0.2233663558959961,,1,0.37093201065063475,,1,0.7574405746459961,,1,0.15662462425231932,,1,0.9572000045776368,,1,0.908,,1,0.9477999954223633,,1,0.852,,1,0.3691210708618164,,1,0.8676000061035156,,1,0.824,,1,0.30387536239624025,,1,0.19459290313720704,
e9b0d8af58d4c2952687896959fd025c764afa044ce12a0a240a283e4fd284e6,total,g05_full_reconstruction,0.25,8,1,43,"{""43"":29}","{""43"":0.9537390437126159}","{""43"":""fe84a1df815e99eab2e9c20b7faa6f4cb361701cdd2c31a46c290a7626838511""}",True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,1,0.44799478912353513,,1,0.4492935676574707,,1,0.22292701530456543,,1,0.3734051399230957,,1,0.7632284317016601,,1,0.1567006893157959,,1,0.9551999893188476,,1,0.904,,1,0.9455999984741211,,1,0.87,,1,0.3533282356262207,,1,0.8883999938964844,,1,0.842,,1,0.2793896141052246,,1,0.1968803291320801,
e9b0d8af58d4c2952687896959fd025c764afa044ce12a0a240a283e4fd284e6,total,g05_full_reconstruction,0.5,16,1,43,"{""43"":41}","{""43"":0.9489210312366486}","{""43"":""fa2e48ef75021dc2d35eba347224dbae3c602d7963e274cf0448dc6d2167c17b""}",True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,1,0.44415258026123045,,1,0.4422540626525879,,1,0.21934764099121093,,1,0.3685847625732422,,1,0.7532633972167969,,1,0.15680460739135743,,1,0.9591999893188476,,1,0.911,,1,0.9491999969482422,,1,0.875,,1,0.33621891021728517,,1,0.887000015258789,,1,0.846,,1,0.281919376373291,,1,0.1940133285522461,
e9b0d8af58d4c2952687896959fd025c764afa044ce12a0a240a283e4fd284e6,total,g05_full_reconstruction,0.75,24,1,43,"{""43"":36}","{""43"":0.9503707411289215}","{""43"":""d87f793ac782787cc658f5a5645c7e60404388879240b0b85ba5369628b6b939""}",True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,1,0.4514920654296875,,1,0.4476106948852539,,1,0.22177762603759765,,1,0.3736267967224121,,1,0.7605389175415039,,1,0.1562613410949707,,1,0.9587999877929687,,1,0.91,,1,0.9486000061035156,,1,0.875,,1,0.336909610748291,,1,0.8833999938964844,,1,0.843,,1,0.28507897186279296,,1,0.19325004005432128,
e9b0d8af58d4c2952687896959fd025c764afa044ce12a0a240a283e4fd284e6,total,g05_full_reconstruction,1.0,32,1,43,"{""43"":26}","{""43"":0.9486440725326539}","{""43"":""dbf9e42ecafaa9c921dbb0995b2aaf5574a59a97aaaa3588d97b8829b58d4588""}",True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,1,0.44576039505004883,,1,0.4478859405517578,,1,0.22184802436828613,,1,0.37183147048950194,,1,0.7598246459960938,,1,0.15529882049560548,,1,0.9632000045776368,,1,0.918,,1,0.9527999877929687,,1,0.871,,1,0.33680766296386716,,1,0.8886000061035156,,1,0.852,,1,0.2787014503479004,,1,0.18934203720092774,
e9b0d8af58d4c2952687896959fd025c764afa044ce12a0a240a283e4fd284e6,total,g05_sign_only,0.0,0,1,43,"{""43"":31}","{""43"":0.5999058632850647}","{""43"":""e70a7bddfd5e796e981d76ee7451e541115ebeacefff2e6557ae620be9acbe1d""}",False,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,1,0.4418797950744629,,1,0.45999319076538087,,1,0.22261006546020506,,1,0.3748277015686035,,1,0.7661625061035157,,1,0.15873043632507325,,1,0.9596000137329102,,1,0.909,,1,0.9473999938964843,,0,,,0,,,0,,,0,,,1,0.19724883460998535,,1,0.19724883460998535,
e9b0d8af58d4c2952687896959fd025c764afa044ce12a0a240a283e4fd284e6,total,g05_sign_only,0.1,3,1,43,"{""43"":31}","{""43"":0.9757132153511048}","{""43"":""569719e6de6cdb4e00dd6d09952dc36b82f46805adb56de71f1c40012728b65f""}",True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,1,0.4418797950744629,,1,0.45999319076538087,,1,0.22261006546020506,,1,0.3748277015686035,,1,0.7661625061035157,,1,0.15873043632507325,,1,0.9596000137329102,,1,0.909,,1,0.9473999938964843,,1,0.853,,1,0.36530050277709963,,1,0.8678000030517579,,1,0.824,,1,0.3057953987121582,,1,0.19724883460998535,
e9b0d8af58d4c2952687896959fd025c764afa044ce12a0a240a283e4fd284e6,total,g05_sign_only,0.25,8,1,43,"{""43"":31}","{""43"":0.9594545781612396}","{""43"":""559b9cd8371efff442574ce1d58fdc47534fac4c4c7ce90a3053e2b42851d52c""}",True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,1,0.4418797950744629,,1,0.45999319076538087,,1,0.22261006546020506,,1,0.3748277015686035,,1,0.7661625061035157,,1,0.15873043632507325,,1,0.9596000137329102,,1,0.909,,1,0.9473999938964843,,1,0.864,,1,0.3517534828186035,,1,0.8804000015258789,,1,0.837,,1,0.2910685920715332,,1,0.19724883460998535,
e9b0d8af58d4c2952687896959fd025c764afa044ce12a0a240a283e4fd284e6,total,g05_sign_only,0.5,16,1,43,"{""43"":31}","{""43"":0.9505535707473755}","{""43"":""9763f0d661752b97e111f88d937312148c676468dec7291afd092bb32c50ecc6""}",True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,1,0.4418797950744629,,1,0.45999319076538087,,1,0.22261006546020506,,1,0.3748277015686035,,1,0.7661625061035157,,1,0.15873043632507325,,1,0.9596000137329102,,1,0.909,,1,0.9473999938964843,,1,0.864,,1,0.3409062690734863,,1,0.8796000061035156,,1,0.837,,1,0.29180274391174316,,1,0.19724883460998535,
e9b0d8af58d4c2952687896959fd025c764afa044ce12a0a240a283e4fd284e6,total,g05_sign_only,0.75,24,1,43,"{""43"":31}","{""43"":0.9457412340641022}","{""43"":""b85b94b8347725cb5895da3e300cfc7c2f9fe4af210aeaa98f6c46ded67c0095""}",True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,1,0.4418797950744629,,1,0.45999319076538087,,1,0.22261006546020506,,1,0.3748277015686035,,1,0.7661625061035157,,1,0.15873043632507325,,1,0.9596000137329102,,1,0.909,,1,0.9473999938964843,,1,0.879,,1,0.3342213249206543,,1,0.893,,1,0.85,,1,0.2761736145019531,,1,0.19724883460998535,
e9b0d8af58d4c2952687896959fd025c764afa044ce12a0a240a283e4fd284e6,total,g05_sign_only,1.0,32,1,43,"{""43"":31}","{""43"":0.9406301028728485}","{""43"":""7eca43faabbb4b6dee73a6c886f13284a95c8915a6019615f0b0c0c6bd492196""}",True,Total selection includes global-sign loss only with observed G05 and nonzero global-sign weight.,1,0.4418797950744629,,1,0.45999319076538087,,1,0.22261006546020506,,1,0.3748277015686035,,1,0.7661625061035157,,1,0.15873043632507325,,1,0.9596000137329102,,1,0.909,,1,0.9473999938964843,,1,0.871,,1,0.332178279876709,,1,0.8866000061035156,,1,0.843,,1,0.2836688289642334,,1,0.19724883460998535,
