protocol_fingerprint,checkpoint_selection,selection_objective,model_a,model_b,g05_fraction,g05_count_per_sample,metric,metric_role,global_sign_in_selection_objective,global_sign_metrics_note,improvement_definition,paired_seed_count,paired_seeds,delta_mean,delta_std,improvement_mean,improvement_std
e9b0d8af58d4c2952687896959fd025c764afa044ce12a0a240a283e4fd284e6,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,absolute_sign_accuracy,secondary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,0,,,,,
e9b0d8af58d4c2952687896959fd025c764afa044ce12a0a240a283e4fd284e6,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,absolute_sign_set_accuracy,secondary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,0,,,,,
e9b0d8af58d4c2952687896959fd025c764afa044ce12a0a240a283e4fd284e6,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,charge_mae,secondary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,43,0.0,,0.0,
e9b0d8af58d4c2952687896959fd025c764afa044ce12a0a240a283e4fd284e6,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,charge_magnitude_mae,primary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,43,0.0,,0.0,
e9b0d8af58d4c2952687896959fd025c764afa044ce12a0a240a283e4fd284e6,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,global_invariant_charge_mae,secondary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,43,0.0,,0.0,
e9b0d8af58d4c2952687896959fd025c764afa044ce12a0a240a283e4fd284e6,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,global_sign_accuracy,secondary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,0,,,,,
e9b0d8af58d4c2952687896959fd025c764afa044ce12a0a240a283e4fd284e6,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,global_sign_bce,secondary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,0,,,,,
e9b0d8af58d4c2952687896959fd025c764afa044ce12a0a240a283e4fd284e6,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,mean_position_3d_error,primary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,43,0.0,,0.0,
e9b0d8af58d4c2952687896959fd025c764afa044ce12a0a240a283e4fd284e6,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,mean_position_mae,primary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,43,0.0,,0.0,
e9b0d8af58d4c2952687896959fd025c764afa044ce12a0a240a283e4fd284e6,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,pairwise_relative_sign_accuracy,primary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,43,0.0,,0.0,
e9b0d8af58d4c2952687896959fd025c764afa044ce12a0a240a283e4fd284e6,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,position_mae_x,primary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,43,0.0,,0.0,
e9b0d8af58d4c2952687896959fd025c764afa044ce12a0a240a283e4fd284e6,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,position_mae_y,primary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,43,0.0,,0.0,
e9b0d8af58d4c2952687896959fd025c764afa044ce12a0a240a283e4fd284e6,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,position_mae_z,primary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,43,0.0,,0.0,
e9b0d8af58d4c2952687896959fd025c764afa044ce12a0a240a283e4fd284e6,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,relative_configuration_accuracy,primary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,43,0.0,,0.0,
e9b0d8af58d4c2952687896959fd025c764afa044ce12a0a240a283e4fd284e6,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,relative_sign_accuracy,primary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,43,0.0,,0.0,
e9b0d8af58d4c2952687896959fd025c764afa044ce12a0a240a283e4fd284e6,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.1,3,absolute_sign_accuracy,secondary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,43,-0.002599998474121179,,-0.002599998474121179,
e9b0d8af58d4c2952687896959fd025c764afa044ce12a0a240a283e4fd284e6,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.1,3,absolute_sign_set_accuracy,secondary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,43,0.0030000000000000027,,0.0030000000000000027,
e9b0d8af58d4c2952687896959fd025c764afa044ce12a0a240a283e4fd284e6,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.1,3,charge_mae,secondary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,43,0.002343017578124995,,-0.002343017578124995,
e9b0d8af58d4c2952687896959fd025c764afa044ce12a0a240a283e4fd284e6,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.1,3,charge_magnitude_mae,primary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,43,-0.0010231914520263674,,0.0010231914520263674,
e9b0d8af58d4c2952687896959fd025c764afa044ce12a0a240a283e4fd284e6,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.1,3,global_invariant_charge_mae,secondary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,43,-0.004124902725219731,,0.004124902725219731,
e9b0d8af58d4c2952687896959fd025c764afa044ce12a0a240a283e4fd284e6,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.1,3,global_sign_accuracy,secondary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,43,-0.0050000000000000044,,-0.0050000000000000044,
e9b0d8af58d4c2952687896959fd025c764afa044ce12a0a240a283e4fd284e6,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.1,3,global_sign_bce,secondary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,43,0.002636646270751941,,-0.002636646270751941,
