epoch,train_total,train_structure,train_position,train_magnitude,train_relative_sign,train_global_sign,validation_total,validation_structure,validation_position,validation_magnitude,validation_relative_sign,validation_global_sign
1,1.7395156168937684,1.0545319786071778,0.7934951024055481,0.0934658996462822,0.16757097887992858,0.6849836382865906,1.5624547452926636,0.8989947762489319,0.7335228085517883,0.08307575392723084,0.08239621037244797,0.6634599690437317
2,1.4300070633888244,0.8569053716659546,0.7031156654357911,0.08218149477243424,0.07160821235179901,0.5731016917228698,1.3482214903831482,0.835099503993988,0.6825935788154602,0.08127485448122025,0.07123107987642288,0.5131219863891602
3,1.243315949678421,0.8081626825332642,0.6605238561630249,0.0802802878022194,0.06735853716731072,0.43515326714515684,1.2127577362060546,0.7797276983261109,0.6383852682113648,0.07875113081932068,0.06259128633141518,0.4330300378799439
4,1.140867799282074,0.7602991394996643,0.6193049783706666,0.07889178282022476,0.06210237789154053,0.38056865978240967,1.1718944959640503,0.7617159123420716,0.6175379028320312,0.07981726789474487,0.06436072981357574,0.4101785836219788
5,1.0946536765098571,0.7315401482582092,0.5943362631797791,0.07808802509307862,0.05911586064100265,0.36311352825164794,1.115721014022827,0.7235818905830383,0.5850334639549255,0.07940556126832962,0.05914285925030709,0.3921391234397888
6,1.0536454644203186,0.7066160774230957,0.5717151770591736,0.077544404566288,0.05735650128126144,0.3470293869972229,1.074869734287262,0.7018235788345337,0.5584208736419678,0.07788342934846879,0.06551928013563156,0.3730461554527283
7,1.0254472458362578,0.6864031572341919,0.5534466218948364,0.07657614666223526,0.05638038888573647,0.33904408860206603,1.049939157962799,0.6845848078727722,0.5470128293037415,0.07595674067735672,0.061615242511034014,0.36535435009002687
8,1.0015290479660035,0.6694210133552552,0.5382469763755798,0.07674219489097595,0.054431845039129255,0.3321080346107483,1.0486038682460785,0.6834549903869629,0.546275062084198,0.07765874588489532,0.05952118766307831,0.3651488778591156
9,0.9826219010353089,0.6543690733909607,0.5258903160095215,0.07644768118858337,0.052031082034111026,0.32825282764434816,1.0147136867046356,0.6578577799797058,0.5218181209564209,0.07490912067890167,0.0611305573284626,0.3568559067249298
10,0.9582764315605163,0.6375600728988647,0.5111334338188172,0.07551560163497925,0.050911038041114805,0.3207163586616516,1.046223074913025,0.6648244514465332,0.5133029017448425,0.07751679873466491,0.07400476014614105,0.3813986234664917
