epoch,train_total,train_structure,train_position,train_magnitude,train_relative_sign,train_global_sign,validation_total,validation_structure,validation_position,validation_magnitude,validation_relative_sign,validation_global_sign
1,1.8350338792800904,1.1483005967140198,0.7983263416290283,0.09669116681814194,0.2532830859422684,0.6867332825660706,1.6382367854118347,0.9612268795967102,0.7559440221786499,0.08533476734161377,0.1199481022953987,0.6770099058151245
2,1.542802566051483,0.8998928036689758,0.7265043821334839,0.08452536958456039,0.08886305505037308,0.6429097623825073,1.4479907798767089,0.8503292837142944,0.6884512639045716,0.08118996196985245,0.08068805104494095,0.5976614961624146
3,1.369130392074585,0.8379931511878967,0.679598268032074,0.08194546276330948,0.07644942238926887,0.5311372408866882,1.304288158416748,0.8082281489372254,0.6549089455604553,0.07993364924192428,0.07338556995987892,0.4960600094795227
4,1.2286932392120362,0.7975293440818787,0.6487316679954529,0.08037563854455948,0.06842204004526138,0.43116389513015746,1.2008130850791932,0.77664217710495,0.6252670073509217,0.08014148902893066,0.07123369163274765,0.42417090797424317
5,1.1471704082489014,0.763757399559021,0.6199412894248962,0.07928060352802277,0.06453550374507903,0.3834130086898804,1.1574236280918122,0.7582073030471802,0.6048193531036377,0.07888032311201096,0.07450762820243835,0.39921632504463195
6,1.1011720218658447,0.7412941036224365,0.6007483983039856,0.07887910962104798,0.061666598707437514,0.3598779182434082,1.119102492570877,0.7321592540740967,0.5889466595649719,0.07836464935541153,0.06484794354438782,0.3869432384967804
7,1.0697605679035187,0.7217600107192993,0.582049364566803,0.07843874108791352,0.06127190965414047,0.34800055718421935,1.0858168931007386,0.7096205096244812,0.5708878059387207,0.07721079486608505,0.06152191412448883,0.37619638347625733
8,1.049032809972763,0.7074779844284058,0.5705184316635132,0.07791524988412857,0.05904430666565895,0.3415548255443573,1.0602591440677642,0.6905694231987,0.5502465209960937,0.07662336361408234,0.06369953170418739,0.3696897208690643
9,1.0260276027917863,0.6920440015792847,0.5563193092346191,0.07802480632066727,0.05769988816976547,0.33398360121250154,1.0562875049114226,0.6787728729248047,0.5424159364700317,0.07596348863840104,0.06039345240592957,0.37751463198661805
10,1.010780413866043,0.6796908626556396,0.5467703170776367,0.07728053575754165,0.05564000904560089,0.33108955121040345,1.0421391966342926,0.6787931671142579,0.5357590413093567,0.0761684398651123,0.06686568558216095,0.3633460295200348
11,1.0016407358646393,0.6707961912155151,0.5373997416496277,0.07703474020957947,0.05636170893907547,0.33084454464912416,1.0436766123771668,0.6829362311363221,0.5431978077888489,0.07575956398248672,0.06397887897491455,0.36074038124084473
12,0.9875501854419708,0.660390338897705,0.5307145967483521,0.0769093297123909,0.05276641562581062,0.3271598465442657,1.037684381723404,0.6786723370552064,0.5353743677139282,0.07586034494638443,0.06743764752149582,0.35901204466819764
13,0.974213056087494,0.6516241412162781,0.5225670676231384,0.07634702384471893,0.05271004951000214,0.3225889148712158,1.0078992109298706,0.6486783905029296,0.5153556885719299,0.0752882559299469,0.058034428268671036,0.3592208204269409
14,0.9632711458206178,0.6426439471244813,0.5140083713531494,0.07630793690681457,0.05232763937115669,0.3206271986961365,1.0144374523162842,0.6542537498474121,0.513646237373352,0.07572760885953903,0.06487989687919617,0.36018370246887205
15,0.9652473311424256,0.6441548895835877,0.513290274143219,0.07619205862283707,0.054672557502985,0.32109244155883787,1.0053044855594635,0.6530498185157776,0.5179141931533814,0.07603760397434235,0.059098011553287505,0.3522546670436859
16,0.9499115412235261,0.6322642798423768,0.5055387015342713,0.07583065086603165,0.050894932001829145,0.3176472613811493,0.993864904165268,0.6407640266418457,0.5067346115112304,0.07539987951517105,0.05862954542040825,0.35310087752342223
17,0.9357776618003846,0.6212903780937195,0.49530873441696166,0.0751859142780304,0.05079572647809982,0.31448728370666507,0.998100394487381,0.6285814728736877,0.49666178464889527,0.07460265552997589,0.05731703585386276,0.36951892161369326
18,0.93219389295578,0.6120269031524658,0.48864887046813965,0.0752963895201683,0.048081643283367156,0.3201669898033142,0.9805755615234375,0.6314547357559204,0.49934675884246826,0.07493389254808426,0.0571740882396698,0.3491208257675171
19,0.9287988131046295,0.6130491347312927,0.4883694331645966,0.07503077673912048,0.049648929119110105,0.3157496783733368,0.9778863160610198,0.6255906367301941,0.494676362991333,0.07534464174509048,0.055569630295038225,0.3522956793308258
20,0.9145379287004471,0.6026484823226929,0.4809550294876099,0.07499450582265854,0.046698943436145786,0.31188944637775423,0.979924788236618,0.6331158785820007,0.4942327432632446,0.07527515077590942,0.06360797840356827,0.3468089096546173
21,0.9093167500495911,0.5970609164237977,0.47613842272758483,0.07475541216135025,0.04616708162426948,0.31225583362579346,0.9707319688796998,0.6166416015625,0.4857400226593018,0.07466936022043229,0.056232219755649564,0.35409036731719973
22,0.9071162514686584,0.5911890397071838,0.4702346351146698,0.07465296977758408,0.046301434993743895,0.3159272117614746,0.9590252084732056,0.6107356624603272,0.47950717639923096,0.07541157937049865,0.0558169033229351,0.3482895460128784
23,0.8968218131065369,0.5831667666435242,0.46456868648529054,0.07440039867162704,0.04419768303632736,0.3136550464630127,0.9633425412178039,0.6154805088043213,0.47929431343078616,0.07455356186628341,0.061632633686065676,0.3478620324134827
